,Column_Name,Categories,Missing_Values,Unique_Values
0,BusinessYear,0,0,1
1,StateCode,0,0,39
2,IssuerId,0,0,433
3,SourceName,0,0,3
4,ImportDate,0,0,98
5,MarketCoverage,0,0,2
6,DentalOnlyPlan,0,0,2
7,TIN,0,0,207
8,StandardComponentId,0,0,4381
9,PlanMarketingName,0,0,2348
10,HIOSProductId,0,0,1011
11,HPID,0,12853,34
12,NetworkId,0,0,129
13,ServiceAreaId,0,0,269
14,FormularyId,0,2077,462
15,IsNewPlan,0,0,2
16,PlanType,0,0,5
17,MetalLevel,0,0,8
18,DesignType,0,0,3
19,UniquePlanDesign,0,2033,2
20,QHPNonQHPTypeId,0,0,3
21,IsNoticeRequiredForPregnancy,0,2077,2
22,IsReferralRequiredForSpecialist,0,2077,2
23,SpecialistRequiringReferral,0,11837,32
24,PlanLevelExclusions,0,13464,67
25,IndianPlanVariationEstimatedAdvancedPaymentAmountPerEnrollee,0,2633,3
26,CompositeRatingOffered,0,0,2
27,ChildOnlyOffering,0,0,3
28,ChildOnlyPlanId,0,15690,0
29,WellnessProgramOffered,0,2077,2
30,DiseaseManagementProgramsOffered,0,2663,35
31,EHBPercentTotalPremium,0,2077,223
32,EHBPediatricDentalApportionmentQuantity,0,13613,98
33,IsGuaranteedRate,0,13613,2
34,PlanEffectiveDate,0,0,4
35,PlanExpirationDate,0,6845,3
36,OutOfCountryCoverage,0,0,2
37,OutOfCountryCoverageDescription,0,4313,106
38,OutOfServiceAreaCoverage,0,0,2
39,OutOfServiceAreaCoverageDescription,0,2463,172
40,NationalNetwork,0,0,2
41,URLForEnrollmentPayment,0,2316,204
42,FormularyURL,0,2077,185
43,PlanId,0,0,15690
44,PlanVariantMarketingName,0,0,4128
45,CSRVariationType,0,0,21
46,IssuerActuarialValue,0,11772,591
47,AVCalculatorOutputNumber,0,3182,1865
48,MedicalDrugDeductiblesIntegrated,0,2077,2
49,MedicalDrugMaximumOutofPocketIntegrated,0,2077,2
50,MultipleInNetworkTiers,0,0,2
51,FirstTierUtilization,0,0,34
52,SecondTierUtilization,0,12723,33
53,SBCHavingaBabyDeductible,0,2077,275
54,SBCHavingaBabyCopayment,0,2077,164
55,SBCHavingaBabyCoinsurance,0,2077,302
56,SBCHavingaBabyLimit,0,2077,21
57,SBCHavingDiabetesDeductible,0,2077,311
58,SBCHavingDiabetesCopayment,0,2077,365
59,SBCHavingDiabetesCoinsurance,0,2077,300
60,SBCHavingDiabetesLimit,0,2077,27
61,SBCHavingSimplefractureDeductible,0,2077,212
62,SBCHavingSimplefractureCopayment,0,2077,159
63,SBCHavingSimplefractureCoinsurance,0,2077,193
64,SBCHavingSimplefractureLimit,0,2077,7
65,SpecialtyDrugMaximumCoinsurance,0,14585,18
66,InpatientCopaymentMaximumDays,0,0,6
67,BeginPrimaryCareCostSharingAfterNumberOfVisits,0,0,6
68,BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,0,0,6
69,MEHBInnTier1IndividualMOOP,2,13605,7
70,MEHBInnTier1FamilyPerPersonMOOP,2,13605,7
71,MEHBInnTier1FamilyPerGroupMOOP,2,13605,6
72,MEHBInnTier2IndividualMOOP,2,15562,2
73,MEHBInnTier2FamilyPerPersonMOOP,2,15562,2
74,MEHBInnTier2FamilyPerGroupMOOP,2,15562,2
75,MEHBOutOfNetIndividualMOOP,2,13605,4
76,MEHBOutOfNetFamilyPerPersonMOOP,2,13605,4
77,MEHBOutOfNetFamilyPerGroupMOOP,2,13605,4
78,MEHBCombInnOonIndividualMOOP,2,13605,2
