Tenant ID,HIOS ID,Policy County FIPS Code,Ever Enrolled Count,Females,Males,< 18 years old,18-34 years old,35-54 years old,> 55 years old,FPL: < 138%,FPL: >= 138% and <=250%,FPL: > 250% and <=400%,FPL: > 400%,FPL: Unknown,Tobacco Users
AK,38344,02013,*,*,*,0,*,*,*,*,*,*,0,*,0
AK,38344,02016,12,*,*,*,*,*,*,*,*,0,*,*,0
AK,38344,02020,"2,459","1,319","1,140",385,687,840,547,206,"1,148",643,115,347,19
AK,38344,02050,*,*,*,0,*,*,*,*,*,*,*,0,0
AK,38344,02060,15,*,*,*,*,*,*,0,*,*,0,*,*
AK,38344,02068,60,29,31,*,*,26,17,*,29,15,*,*,0
AK,38344,02070,*,*,*,*,*,*,*,*,0,*,*,*,0
AK,38344,02090,555,296,259,69,171,183,132,68,271,118,12,86,*
AK,38344,02100,105,56,49,16,15,34,40,*,54,29,*,*,0
AK,38344,02105,44,25,19,*,*,15,19,*,17,16,0,*,*
AK,38344,02110,423,228,195,72,155,123,73,29,202,134,12,46,*
AK,38344,02122,527,276,251,44,104,158,221,46,275,124,20,62,*
AK,38344,02130,179,87,92,27,41,61,50,*,72,68,*,18,*
AK,38344,02150,362,175,187,56,63,121,122,168,139,32,*,*,*
AK,38344,02164,12,*,*,*,*,*,*,*,*,*,0,0,0
AK,38344,02170,807,418,389,132,186,248,241,58,378,221,29,121,*
AK,38344,02180,11,*,*,*,*,*,*,*,*,0,*,0,0
AK,38344,02185,*,*,*,*,*,*,*,0,*,0,0,*,0
AK,38344,02188,*,*,*,*,*,*,*,*,*,*,0,*,0
AK,38344,02195,115,57,58,23,26,34,32,*,45,48,*,13,0
AK,38344,02198,34,16,18,*,*,12,11,*,25,*,0,0,0
AK,38344,02220,160,81,79,24,40,56,40,22,71,40,*,*,*
AK,38344,02230,74,40,34,*,28,28,*,*,36,24,*,*,0
AK,38344,02240,53,24,29,*,*,19,18,*,28,19,*,*,*
AK,38344,02261,125,60,65,13,29,45,38,21,58,23,*,*,*
AK,38344,02270,*,*,0,0,0,*,*,0,*,*,0,0,0
AK,38344,02275,46,20,26,*,*,12,19,*,22,17,0,*,0
AK,38344,02282,*,*,*,0,0,*,*,0,*,*,*,0,0
AK,38344,02290,16,*,*,0,*,*,*,*,*,*,*,0,0
AK,73836,02013,13,*,*,0,*,*,*,*,*,*,*,*,*
AK,73836,02016,18,*,*,*,*,12,*,*,*,*,*,*,0
AK,73836,02020,"5,915","3,192","2,723",779,"1,749","1,934","1,453",752,"3,030","1,540",165,428,68
AK,73836,02050,47,22,25,*,*,17,18,*,24,*,*,*,*
AK,73836,02060,16,*,*,*,*,*,*,0,*,*,*,0,0
AK,73836,02068,100,50,50,*,29,*,35,*,49,34,0,*,0
AK,73836,02070,21,*,*,*,*,*,11,*,13,*,*,*,0
AK,73836,02090,"1,601",859,742,248,492,501,360,197,785,442,45,132,17
AK,73836,02100,156,87,69,15,54,49,38,17,75,44,*,*,*
AK,73836,02105,64,32,32,*,*,22,26,*,44,11,0,*,0
AK,73836,02110,553,273,280,85,212,180,76,45,286,159,17,46,*
AK,73836,02122,"1,936","1,033",903,221,457,593,665,177,"1,048",507,56,148,25
AK,73836,02130,339,170,169,46,76,110,107,29,180,99,11,20,*
AK,73836,02150,372,196,176,50,94,120,108,45,184,102,*,*,*
AK,73836,02164,14,*,*,*,*,*,*,*,*,*,*,0,0
AK,73836,02170,"2,052","1,125",927,344,430,724,554,203,"1,085",536,65,163,31
AK,73836,02180,34,15,19,*,*,*,11,*,26,*,0,0,0
AK,73836,02185,15,*,*,*,*,*,*,*,12,*,0,0,0
AK,73836,02188,*,*,*,*,*,*,*,*,*,*,0,0,0
AK,73836,02195,105,49,56,20,25,39,21,*,61,29,*,*,0
AK,73836,02198,59,25,34,*,*,17,32,*,34,15,*,*,0
AK,73836,02220,276,146,130,30,86,91,69,25,144,90,*,*,*
AK,73836,02230,86,46,40,*,29,43,*,*,45,26,*,*,0
AK,73836,02240,125,73,52,11,28,39,47,14,73,31,*,*,*
AK,73836,02261,263,140,123,40,54,87,82,38,115,78,16,16,*
AK,73836,02270,*,*,*,0,*,*,*,*,*,*,0,*,0
AK,73836,02275,46,20,26,*,*,*,25,*,26,15,0,*,*
AK,73836,02282,13,*,*,*,*,*,*,*,*,*,0,*,0
AK,73836,02290,40,18,22,*,*,13,18,*,18,11,*,*,0
AL,44580,01009,408,224,184,*,*,159,128,166,156,55,*,*,65
AL,44580,01073,"7,156","4,068","3,088",270,"2,478","2,589","1,819","2,931","2,644",882,134,565,560
AL,44580,01083,"1,058",604,454,36,318,403,301,358,437,146,17,100,135
AL,44580,01089,"6,016","3,367","2,649",236,"2,177","2,207","1,396","2,167","2,449",773,146,481,600
AL,44580,01103,"1,575",855,720,56,464,647,408,512,664,250,38,111,264
AL,44580,01115,740,393,347,32,231,278,199,282,283,98,16,61,109
AL,44580,01117,"1,863","1,009",854,110,620,675,458,564,736,307,96,160,140
AL,46944,01001,"1,251",730,521,106,367,496,282,389,599,174,16,73,140
AL,46944,01003,"9,482","5,477","4,005",684,"2,490","3,635","2,673","3,002","4,195","1,489",248,548,913
AL,46944,01005,596,367,229,31,153,210,202,238,238,78,13,29,51
AL,46944,01007,307,178,129,14,89,122,82,101,149,43,*,*,36
AL,46944,01009,"1,082",617,465,58,281,412,331,369,484,151,16,62,118
AL,46944,01011,206,131,75,*,*,79,64,109,81,*,0,*,*
AL,46944,01013,593,361,232,22,135,235,201,247,246,62,13,25,56
AL,46944,01015,"3,123","1,765","1,358",112,900,"1,191",920,"1,290","1,297",363,43,130,337
AL,46944,01017,764,441,323,28,168,289,279,318,330,83,*,*,60
AL,46944,01019,708,393,315,36,139,267,266,289,295,74,0,50,84
AL,46944,01021,"1,029",563,466,73,262,427,267,356,461,163,12,37,111
AL,46944,01023,504,315,189,15,132,195,162,149,220,102,*,*,34
AL,46944,01025,842,544,298,18,260,325,239,413,310,88,*,*,58
AL,46944,01027,376,213,163,17,82,140,137,136,170,45,*,*,43
AL,46944,01029,457,250,207,23,108,197,129,148,201,72,*,*,59
AL,46944,01031,"1,183",678,505,52,345,435,351,428,527,165,*,*,159
AL,46944,01033,"2,116","1,234",882,88,539,845,644,783,900,315,32,86,195
AL,46944,01035,410,245,165,*,*,170,153,184,158,40,*,*,45
AL,46944,01037,266,158,108,*,*,95,112,118,108,26,*,*,30
AL,46944,01039,"1,059",617,442,37,249,404,369,422,445,132,13,47,159
AL,46944,01041,422,231,191,*,*,145,150,177,188,41,*,*,67
AL,46944,01043,"2,805","1,556","1,249",123,748,"1,130",804,922,"1,306",388,48,141,360
AL,46944,01045,"1,132",652,480,39,329,421,343,475,455,138,16,48,147
AL,46944,01047,"1,026",653,373,25,280,381,340,465,383,110,19,49,69
AL,46944,01049,"2,618","1,449","1,169",105,604,"1,084",825,"1,093","1,135",261,23,106,285
AL,46944,01051,"1,793","1,039",754,129,524,660,480,598,790,257,41,107,190
AL,46944,01053,977,558,419,37,242,376,322,332,417,159,29,40,134
AL,46944,01055,"3,869","2,220","1,649",155,"1,074","1,594","1,046","1,633","1,587",406,48,195,380
AL,46944,01057,454,256,198,23,112,156,163,149,202,74,*,*,52
AL,46944,01059,813,439,374,44,184,347,238,299,356,98,16,44,100
AL,46944,01061,632,333,299,34,144,232,222,205,296,93,13,25,75
AL,46944,01063,245,145,100,*,*,83,98,121,93,*,*,15,14
AL,46944,01065,481,286,195,14,142,189,136,210,186,51,*,*,32
AL,46944,01067,454,255,199,30,116,170,138,161,219,43,*,*,43
AL,46944,01069,"2,567","1,489","1,078",134,719,992,722,891,"1,108",386,44,138,215
AL,46944,01071,"1,697",950,747,91,364,674,568,614,740,254,21,68,237
AL,46944,01073,"10,603","6,117","4,486",725,"3,504","3,858","2,516","3,582","4,303","1,656",278,784,678
AL,46944,01075,408,223,185,17,94,151,146,147,178,56,*,*,52
AL,46944,01077,"3,882","2,187","1,695",147,"1,190","1,433","1,112","1,409","1,640",578,63,192,395
AL,46944,01079,"1,325",738,587,41,305,539,440,500,550,186,27,62,177
AL,46944,01081,"4,515","2,597","1,918",302,"1,766","1,559",888,"1,715","1,843",583,96,278,303
AL,46944,01083,"1,507",854,653,97,439,592,379,523,653,206,40,85,174
AL,46944,01085,228,143,85,*,*,74,88,97,84,21,0,26,15
AL,46944,01087,450,298,152,*,*,172,142,219,166,29,*,*,23
AL,46944,01089,"6,786","3,832","2,954",419,"2,266","2,582","1,519","2,601","2,662",898,155,470,626
AL,46944,01091,558,329,229,28,125,229,176,193,235,95,*,*,46
AL,46944,01093,875,461,414,33,187,371,284,305,394,115,15,46,132
AL,46944,01095,"3,085","1,746","1,339",127,772,"1,244",942,"1,116","1,380",408,37,144,364
AL,46944,01097,"7,391","4,320","3,071",478,"2,325","2,725","1,863","2,771","2,990","1,042",149,439,521
AL,46944,01099,771,458,313,35,192,288,256,290,335,96,17,33,84
AL,46944,01101,"4,792","2,880","1,912",281,"1,621","1,782","1,108","1,866","1,977",583,72,294,311
AL,46944,01103,"3,346","1,894","1,452",164,936,"1,334",912,"1,356","1,346",403,43,198,400
AL,46944,01105,198,122,76,*,*,75,68,100,72,16,*,*,*
AL,46944,01107,430,250,180,18,109,152,151,176,177,55,*,*,41
AL,46944,01109,771,444,327,41,252,293,185,310,306,98,11,46,91
AL,46944,01111,657,354,303,32,164,243,218,246,286,69,13,43,78
