Overview,,,,,,,,,,
,,,,,,,,,,
"Table 1 County FIPS Level CSR (excluding Native American / Alaska Natives and suppress all cells <=10, including counter suppression within each county and across counties)",,,,,,,,,,
State,FIPS County Code,County Name,Total Number of Consumers,Number of Consumers with CSR (AV of 73%/87%/94%),Number of Consumers with CSR AV of 73%,Number of Consumers with CSR AV of 87%,Number of Consumers with CSR AV of 94%,Average Monthly Advanced CSR Payment for Consumers with 73%,Average Monthly Advanced CSR Payment for Consumers with 87%,Average Monthly Advanced CSR Payment for Consumers with 94%
Total (unsuppressed),,,"9,625,982","5,644,917","810,815","1,749,828","3,084,274",$12,$89,$120
AK,02013,ALEUTIANS EAST,38,16,.,.,.,.,.,.
AK,02016,ALEUTIANS WEST,38,16,.,.,.,.,.,.
AK,02020,ANCHORAGE,"9,484","3,917",787,"1,640","1,490",$26,$204,$290
AK,02050,BETHEL,73,18,.,11,.,.,$234,.
AK,02060,BRISTOL BAY BOROUGH,34,12,.,.,.,.,.,.
AK,02068,DENALI,164,65,.,.,28,.,.,$289
AK,02070,DILLINGHAM,31,.,.,.,.,.,.,.
AK,02090,FAIRBANKS NORTH STAR,"2,382","1,008",216,405,387,$26,$206,$273
AK,02100,HAINES,285,90,19,40,31,$30,$203,$260
AK,02105,HOONAH-ANGOON CENSUS AREA,117,51,11,29,11,$32,$223,$326
AK,02110,JUNEAU,"1,082",360,68,176,116,$25,$205,$268
AK,02122,KENAI PENINSULA,"2,721","1,119",249,491,379,$29,$223,$315
AK,02130,KETCHIKAN GATEWAY,553,155,35,63,57,$32,$235,$297
AK,02150,KODIAK ISLAND BOROUGH,848,218,41,95,82,$30,$212,$289
AK,02164,LAKE AND PENINSULA,34,11,.,.,.,.,.,.
AK,02170,MATANUSKA-SUSITNA,"3,218","1,224",239,518,467,$27,$217,$307
AK,02180,NOME,57,16,.,.,.,.,.,.
AK,02185,NORTH SLOPE BOROUH,33,.,.,.,.,.,.,.
AK,02188,NORTHWEST ARTIC BOROUGH,28,.,.,.,.,.,.,.
AK,02195,PETERSBURG CENSUS AREA,229,84,23,36,25,$28,$208,$326
AK,02198,PR.OF WALES-HYDER CNS AREA,112,49,.,24,.,.,$215,.
AK,02220,SITKA BOROUGH,472,158,40,64,54,$24,$231,$306
AK,02230,SKAGWAY-YAKUTAT,176,44,.,.,17,.,.,$269
AK,02240,SOUTHEAST FAIRBANKS,174,72,.,43,.,.,$238,.
AK,02261,VALDEZ-CORDOVA,461,165,25,68,72,$33,$243,$285
AK,02270,WADE HAMPTON,16,.,.,.,.,.,.,.
AK,02275,WRANGELL CITY AND BOROUGH,96,29,.,.,13,.,.,$346
AK,02282,YAKUTAT BOROUGH,17,.,.,.,.,.,.,.
AK,02290,YUKON-KOYUKUK,55,15,.,.,12,.,.,$337
AL,01001,AUTAUGA,"1,896","1,341",142,399,800,$13,$87,$117
AL,01003,BALDWIN,"11,778","8,342","1,246","2,426","4,670",$13,$91,$121
AL,01005,BARBOUR,801,584,62,155,367,$13,$98,$132
AL,01007,BIBB,629,477,58,121,298,$15,$101,$123
AL,01009,BLOUNT,"2,264","1,663",197,437,"1,029",$14,$96,$132
AL,01011,BULLOCK,334,273,15,50,208,$14,$99,$129
AL,01013,BUTLER,816,637,67,159,411,$13,$97,$128
AL,01015,CALHOUN,"3,966","3,007",362,769,"1,876",$14,$97,$125
AL,01017,CHAMBERS,"1,128",870,96,239,535,$15,$97,$125
AL,01019,CHEROKEE,926,729,112,163,454,$13,$103,$135
AL,01021,CHILTON,"1,939","1,460",205,390,865,$13,$98,$126
AL,01023,CHOCTAW,652,469,55,135,279,$14,$92,$124
AL,01025,CLARKE,"1,272","1,026",69,209,748,$13,$91,$119
AL,01027,CLAY,489,351,50,99,202,$13,$96,$131
AL,01029,CLEBURNE,610,460,69,149,242,$12,$97,$129
AL,01031,COFFEE,"1,488","1,093",125,308,660,$13,$91,$125
AL,01033,COLBERT,"2,250","1,692",215,479,998,$12,$93,$120
AL,01035,CONECUH,548,430,54,115,261,$15,$102,$133
AL,01037,COOSA,384,286,21,67,198,$17,$109,$126
AL,01039,COVINGTON,"1,452","1,117",134,294,689,$13,$97,$128
AL,01041,CRENSHAW,566,432,36,139,257,$14,$96,$132
AL,01043,CULLMAN,"3,395","2,517",343,728,"1,446",$13,$92,$124
AL,01045,DALE,"1,475","1,134",121,266,747,$14,$90,$124
AL,01047,DALLAS,"1,684","1,279",96,244,939,$15,$96,$122
AL,01049,DE KALB,"3,047","2,430",273,624,"1,533",$13,$97,$128
AL,01051,ELMORE,"2,609","1,888",245,535,"1,108",$13,$86,$122
AL,01053,ESCAMBIA,"1,202",887,101,244,542,$15,$93,$127
AL,01055,ETOWAH,"4,639","3,661",400,961,"2,300",$14,$95,$127
AL,01057,FAYETTE,577,420,51,128,241,$14,$97,$131
AL,01059,FRANKLIN,"1,060",786,66,211,509,$14,$95,$128
AL,01061,GENEVA,973,726,111,234,381,$14,$104,$136
AL,01063,GREENE,323,253,16,74,163,$14,$93,$127
AL,01065,HALE,593,449,34,113,302,$15,$88,$120
AL,01067,HENRY,722,566,67,147,352,$14,$100,$125
AL,01069,HOUSTON,"4,058","2,951",346,787,"1,818",$13,$92,$124
AL,01071,JACKSON,"2,077","1,511",180,443,888,$15,$97,$129
AL,01073,JEFFERSON,"26,649","18,323","2,170","4,797","11,356",$13,$89,$119
AL,01075,LAMAR,507,405,66,111,228,$15,$97,$124
AL,01077,LAUDERDALE,"4,006","2,952",418,821,"1,713",$13,$90,$118
AL,01079,LAWRENCE,"1,468","1,048",122,297,629,$15,$106,$130
