Tenant ID,HIOS ID,Policy County FIPS Code,Ever Enrolled Count,Females,Males,< 18 years old,18-34 years old,35-54 years old,> 55 years old,FPL: < 138%,FPL: >= 138% and <=250%,FPL: > 250% and <=400%,FPL: > 400%,FPL: Unknown,Tobacco Users
AK,38344,2013,28,12,16,*,*,*,*,0,14,12,*,*,*
AK,38344,2016,37,15,22,*,*,15,*,0,25,*,*,*,*
AK,38344,2020,7601,4105,3496,1077,2182,2493,1849,565,4103,2327,178,428,410
AK,38344,2050,43,20,23,*,13,14,*,*,24,13,0,*,*
AK,38344,2060,27,11,16,*,*,12,*,0,19,*,*,*,*
AK,38344,2068,125,67,58,*,*,42,43,*,77,37,0,*,*
AK,38344,2070,27,13,14,*,*,*,13,0,14,*,0,*,*
AK,38344,2090,1953,1015,938,308,611,602,432,152,1085,591,28,97,113
AK,38344,2100,226,117,109,16,60,72,78,11,142,61,*,*,13
AK,38344,2105,85,44,41,*,*,33,30,*,48,30,*,0,11
AK,38344,2110,879,458,421,147,325,275,132,33,486,309,13,38,58
AK,38344,2122,2209,1194,1015,255,457,687,810,83,1296,712,27,91,202
AK,38344,2130,482,239,243,70,107,161,144,25,232,205,*,*,46
AK,38344,2150,749,376,373,119,164,237,229,264,333,119,*,*,34
AK,38344,2158,*,0,*,0,*,*,0,*,0,*,0,0,0
AK,38344,2164,27,15,12,*,*,*,14,0,13,12,*,*,*
AK,38344,2170,2495,1350,1145,416,502,828,749,95,1440,835,25,100,199
AK,38344,2180,42,19,23,*,*,18,11,0,26,14,*,*,11
AK,38344,2185,44,19,25,*,*,14,13,*,24,17,*,*,*
AK,38344,2188,12,*,*,*,*,*,*,*,*,*,0,*,*
AK,38344,2195,200,97,103,37,46,63,54,*,99,77,*,11,13
AK,38344,2198,112,51,61,*,*,34,52,*,66,36,*,*,14
AK,38344,2220,367,192,175,41,113,123,90,20,183,151,*,*,28
AK,38344,2230,164,89,75,16,51,72,25,*,103,41,*,*,11
AK,38344,2240,155,84,71,15,33,48,59,*,87,57,0,*,16
AK,38344,2261,337,162,175,48,74,118,97,25,188,97,13,14,21
AK,38344,2270,*,*,*,*,*,*,*,0,*,0,*,0,*
AK,38344,2275,76,36,40,*,*,20,34,*,35,26,*,*,*
AK,38344,2282,12,*,*,*,*,*,*,0,*,*,0,0,*
AK,38344,2290,53,24,29,*,*,17,18,*,32,14,*,*,*
AL,46944,1001,1755,1025,730,116,549,691,399,649,793,246,24,43,164
AL,46944,1003,11791,6793,4998,725,3241,4424,3401,3847,5298,2101,194,351,1007
AL,46944,1005,724,419,305,31,178,268,247,282,324,100,*,*,61
AL,46944,1007,513,303,210,15,138,206,154,194,245,66,*,*,53
AL,46944,1009,2146,1201,945,96,565,808,677,796,965,336,19,30,252
AL,46944,1011,286,167,119,*,86,111,*,145,106,29,*,*,14
AL,46944,1013,715,431,284,16,177,270,252,305,278,110,*,*,68
AL,46944,1015,3692,2111,1581,144,1083,1431,1034,1503,1632,453,41,63,381
AL,46944,1017,1081,638,443,38,305,387,351,468,462,128,11,12,91
AL,46944,1019,863,492,371,19,188,321,335,386,343,119,*,*,107
AL,46944,1021,1727,984,743,88,452,656,531,595,821,262,17,32,179
AL,46944,1023,589,376,213,24,139,226,200,207,257,108,*,*,33
AL,46944,1025,1143,735,408,28,350,433,332,568,450,106,*,*,74
AL,46944,1027,421,235,186,20,117,152,132,151,204,53,*,*,46
AL,46944,1029,549,301,248,31,135,220,163,192,249,85,*,*,56
AL,46944,1031,1437,813,624,74,452,523,388,531,650,223,13,20,177
AL,46944,1033,2172,1262,910,95,589,823,665,821,949,348,19,35,193
AL,46944,1035,476,287,189,*,*,193,173,213,195,61,*,*,40
AL,46944,1037,342,196,146,*,*,129,121,150,144,38,*,*,38
AL,46944,1039,1412,822,590,53,353,502,504,536,647,197,18,14,170
AL,46944,1041,477,275,202,14,126,176,161,194,218,57,*,*,64
AL,46944,1043,3394,1913,1481,137,959,1291,1007,1215,1555,539,32,53,423
AL,46944,1045,1328,780,548,36,374,511,407,564,564,154,13,33,153
AL,46944,1047,1341,826,515,31,358,527,425,653,498,160,11,19,70
AL,46944,1049,2953,1658,1295,116,669,1195,973,1247,1286,355,17,48,304
AL,46944,1051,2553,1465,1088,148,789,966,650,878,1177,398,38,62,250
AL,46944,1053,1271,739,532,42,338,474,417,534,508,183,24,22,153
AL,46944,1055,4351,2475,1876,158,1245,1764,1184,1803,1866,568,51,63,405
AL,46944,1057,520,296,224,16,151,164,189,185,242,78,*,*,58
AL,46944,1059,1026,551,475,45,267,415,299,392,455,135,24,20,111
AL,46944,1061,813,450,363,25,198,298,292,296,392,113,*,*,86
AL,46944,1063,260,167,93,*,*,88,103,133,110,11,*,*,11
AL,46944,1065,534,318,216,17,158,208,151,267,196,63,*,*,33
AL,46944,1067,634,349,285,31,138,235,230,250,271,99,*,*,52
AL,46944,1069,3586,2040,1546,169,1027,1393,997,1294,1611,578,36,67,296
AL,46944,1071,1986,1104,882,107,439,776,664,679,943,292,22,50,242
AL,46944,1073,23356,13568,9788,1140,7918,8486,5812,8775,9850,3638,370,723,1509
AL,46944,1075,447,248,199,18,105,168,156,160,208,67,0,12,41
AL,46944,1077,3928,2234,1694,124,1205,1481,1118,1432,1763,604,48,81,359
AL,46944,1079,1436,812,624,58,342,597,439,547,623,246,*,*,212
AL,46944,1081,5420,3076,2344,334,2127,1917,1042,2096,2259,792,90,183,332
AL,46944,1083,3101,1739,1362,156,907,1246,792,1039,1409,547,41,65,347
AL,46944,1085,349,207,142,*,*,114,140,151,146,42,*,*,22
AL,46944,1087,587,352,235,19,168,226,174,288,247,41,*,*,44
AL,46944,1089,14468,8168,6300,727,4922,5386,3433,5527,6162,2095,228,456,1249
AL,46944,1091,733,447,286,38,215,270,210,281,305,133,*,*,48
AL,46944,1093,1037,542,495,31,228,441,337,401,451,162,*,*,143
AL,46944,1095,3643,2014,1629,149,990,1406,1098,1358,1715,475,27,68,407
AL,46944,1097,16969,10168,6801,751,5274,6321,4623,7154,7128,2139,184,364,1108
AL,46944,1099,913,551,362,21,245,342,305,373,374,148,*,*,83
AL,46944,1101,7420,4418,3002,330,2547,2790,1753,3017,3157,945,109,192,416
AL,46944,1103,5006,2843,2163,202,1459,1986,1359,1867,2271,741,54,73,621
AL,46944,1105,263,170,93,*,*,88,99,144,100,15,*,*,11
AL,46944,1107,605,355,250,23,166,219,197,234,268,86,*,*,55
AL,46944,1109,955,560,395,47,328,352,228,370,423,112,21,29,97
