,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
0,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
1,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,0,0
2,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,0,0
3,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,0,0
4,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
5,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,0,0
6,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,0,0
7,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
8,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,0,0
9,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,0,0
10,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
11,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
12,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
13,AKS001,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
14,AKS002,21989,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0
15,AKS002,38344,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.9,0,0,0,0
16,AKS002,38344,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.9,0,0,0,0
17,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
18,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
19,AKS001,45858,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
20,AKS001,45858,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
21,AKS001,45858,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
22,AKS001,45858,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
23,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
24,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
25,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
26,AKS001,47904,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
27,AKS001,58670,0,0.0,0,0,0,0,0,0,0,0,0,0,0,86.6,0,0,0,0
