,Column_Name,Categories,Missing_Values,Unique_Values
0,UNIQUE,0,70557,0
1,YEAR,0,0,1
2,DATECAPTURE,0,0,6
3,PLANID,0,0,14684
4,ST,0,0,51
5,AREA,0,0,499
6,CARRIER,0,0,174
7,PLANNAME,0,0,5694
8,METAL,0,0,5
9,PLANTYPE,0,0,5
10,PREMIC,0,69763,353
11,PREMI27,0,794,19840
12,PREMI50,0,794,21916
13,PREMI2C30,0,794,22013
14,PREMC2C30,0,794,21867
15,CSR,0,0,2
16,PLANMARKET,0,0,3
17,CHILDONLY,0,0,2
18,NETWORKID,0,623,555
19,actively_marketed,0,0,1
20,MULTITIERED,0,0,2
21,AB_LIMITED,0,0,2
22,AB_CopayInn_TIERS,0,0,2
23,AB_CopayInnTier1Complex,0,0,1
24,AB_CopayInnTier1,0,0,6
25,AB_CopayInnTier1A,0,43753,25
26,AB_CopayInnTier2Complex,0,0,1
27,AB_CopayInnTier2,0,0,5
28,AB_CopayInnTier2A,0,69803,8
29,AB_CoinsInn_TIERS,0,0,2
30,AB_CoinsInnTier1Complex,0,0,1
31,AB_CoinsInnTier1,0,0,4
32,AB_CoinsInnTier1A,0,30777,16
33,AB_CoinsInnTier2Complex,0,0,1
34,AB_CoinsInnTier2,0,0,3
35,AB_CoinsInnTier2A,0,69656,9
36,AB_CopayOutofNetComplex,0,0,1
37,AB_CopayOutofNet,0,0,6
38,AB_CopayOutofNetA,0,47454,23
39,AB_CoinsOutofNetComplex,0,0,1
40,AB_CoinsOutofNet,0,0,4
41,AB_CoinsOutofNetA,0,26994,20
42,EY_LIMITED,0,0,2
43,EY_CopayInn_TIERS,0,0,2
44,EY_CopayInnTier1Complex,0,0,1
45,EY_CopayInnTier1,0,0,6
46,EY_CopayInnTier1A,0,13802,19
47,EY_CopayInnTier2Complex,0,0,1
48,EY_CopayInnTier2,0,0,5
49,EY_CopayInnTier2A,0,69139,6
50,EY_CoinsInn_TIERS,0,0,2
51,EY_CoinsInnTier1Complex,0,0,1
52,EY_CoinsInnTier1,0,0,4
53,EY_CoinsInnTier1A,0,60732,11
54,EY_CoinsInnTier2Complex,0,0,1
55,EY_CoinsInnTier2,0,0,3
56,EY_CoinsInnTier2A,0,70307,5
57,EY_CopayOutofNetComplex,0,0,1
58,EY_CopayOutofNet,0,0,5
59,EY_CopayOutofNetA,0,66704,4
60,EY_CoinsOutofNetComplex,0,0,1
61,EY_CoinsOutofNet,0,0,5
62,EY_CoinsOutofNetA,0,7719,17
63,EW_LIMITED,0,0,2
64,EW_CopayInn_TIERS,0,0,2
65,EW_CopayInnTier1Complex,0,0,1
66,EW_CopayInnTier1,0,0,6
67,EW_CopayInnTier1A,0,23045,16
68,EW_CopayInnTier2Complex,0,0,1
69,EW_CopayInnTier2,0,0,5
70,EW_CopayInnTier2A,0,69222,3
71,EW_CoinsInn_TIERS,0,0,2
72,EW_CoinsInnTier1Complex,0,0,1
73,EW_CoinsInnTier1,0,0,4
74,EW_CoinsInnTier1A,0,51512,12
75,EW_CoinsInnTier2Complex,0,0,1
76,EW_CoinsInnTier2,0,0,3
77,EW_CoinsInnTier2A,0,70277,6
78,EW_CopayOutofNetComplex,0,0,1
79,EW_CopayOutofNet,0,0,4
80,EW_CopayOutofNetA,0,66678,1
81,EW_CoinsOutofNetComplex,0,0,1
82,EW_CoinsOutofNet,0,0,5
83,EW_CoinsOutofNetA,0,7745,17
84,DT_LIMITED,0,0,2
85,DT_CopayInn_TIERS,0,0,2
86,DT_CopayInnTier1Complex,0,0,1
87,DT_CopayInnTier1,0,0,6
88,DT_CopayInnTier1A,0,41380,32
89,DT_CopayInnTier2Complex,0,0,1
90,DT_CopayInnTier2,0,0,5
91,DT_CopayInnTier2A,0,69893,19
92,DT_CoinsInn_TIERS,0,0,2
93,DT_CoinsInnTier1Complex,0,0,1
94,DT_CoinsInnTier1,0,0,4
95,DT_CoinsInnTier1A,0,33059,18
96,DT_CoinsInnTier2Complex,0,0,1
97,DT_CoinsInnTier2,0,0,3
98,DT_CoinsInnTier2A,0,69148,12
99,DT_CopayOutofNetComplex,0,0,1
100,DT_CopayOutofNet,0,0,5
101,DT_CopayOutofNetA,0,68522,7
102,DT_CoinsOutofNetComplex,0,0,1
103,DT_CoinsOutofNet,0,0,5
104,DT_CoinsOutofNetA,0,5850,17
105,DM_LIMITED,0,0,2
106,DM_CopayInn_TIERS,0,0,2
107,DM_CopayInnTier1Complex,0,0,1
108,DM_CopayInnTier1,0,0,6
109,DM_CopayInnTier1A,0,48292,22
110,DM_CopayInnTier2Complex,0,0,1
111,DM_CopayInnTier2,0,0,4
