,state_code,prov_nbr,name,address,city,state,zip
0,01,2306,CHILDRENS HOSPITAL DIALYSIS ,1600 7TH AVENUE SOUTH ,BIRMINGHAM,AL,35233
1,01,2500,FMC CAPITOL CITY,255 S JACKSON STREET,MONTGOMERY,AL,36104
2,01,2501,DAVITA GADSDEN DIALYSIS ,409 SOUTH FIRST STREET,GADSDEN ,AL,35901
3,01,2502,DAVITA TUSCALOOSA UNIVERSTIY DIALYSIS ,220 15TH STREET ,TUSCALOOSA,AL,35401
4,01,2505,DAVITA PDI-MONTGOMERY ,1001 FOREST AVENUE,MONTGOMERY,AL,36106
5,01,2506,DAVITA DOTHAN DIALYSIS,216 GRACELAND DR. ,DOTHAN,AL,36305
6,01,2507,FMC MOBILE,2620 OLD SHELL RD ,MOBILE,AL,36607
7,01,2508,DAVITA BIRMINGHAM EAST DIALYSIS ,1105 EAST PARK DRIVE,BIRMINGHAM,AL,35235
8,01,2509,FMC NORTH ALABAMA ,1311 N MEMORIAL PKWY #200 ,HUNTSVILLE,AL,35801
9,01,2512,FMC SELMA ,905 MEDICAL CENTER PARKWAY,SELMA ,AL,36701
10,01,2513,FMC LANGDALE,8 MEDICAL PARK,VALLEY,AL,36854
11,01,2515,FMC OPELIKA ,2609 VILLAGE PROFESSIONAL DRSTE 2 ,OPELIKA ,AL,36801
12,01,2516,DSI SOUTH DIALYSIS,3201 3RD AVE SOUTH,BIRMINGHAM,AL,35222
13,01,2517,DAVITA ATHENS DIALYSIS,15953 ATHENS LIMESTONE DRIVE,ATHENS,AL,35613
14,01,2519,FMC SCOTTSBORO,20998 JOHN T. REID HWY,SCOTTSBORO,AL,35768
15,01,2520,FRESENIUS KIDNEY CARE TROY,606 BOTTS AVE ,TROY,AL,36081
16,01,2521,DCI DOTHAN,1630 COLUMBIA HWY ,DOTHAN,AL,36303
17,01,2522,FMC HUNTSVILLE,2325 PANSY STREET SUITE C ,HUNTSVILLE,AL,35801
18,01,2523,DAVITA PHENIX CITY DIALYSIS CENTER,4391 RIVERCHASE DRIVE ,PHENIX CITY ,AL,36867
19,01,2524,FMC EAST MOBILE ,1217 GOVERNMENT ST,MOBILE,AL,36604
20,01,2525,FMC WEST MOBILE ,6601 WALL STREETSUITE A ,MOBILE,AL,36695
21,01,2526,RCG PRINCETON ,708 COTTON AVE SW ,BIRMINGHAM,AL,35211
22,01,2527,DCI ENTERPRISE,3861 SALEM ROAD ,ENTERPRISE,AL,36330
23,01,2528,FMC CAHABA VALLEY ,120 CAHABA VALLEY PARKWAY SUITE 150 ,PELHAM,AL,35124
24,01,2529,DAVITA FLORENCE DIALYSIS,422 EAST DR. HICKS BLVD ,FLORENCE,AL,35630
25,01,2530,RAI EAST 11TH ST ANNISTON ,522 EAST 11TH STREET1ST FLOOR ,ANNISTON,AL,36207
26,01,2531,FMC JACKSON (TOMBIGBEE) ,215 WALKER SPRINGS RD ,JACKSON ,AL,36545
27,01,2532,DCI EUFAULA ,123 A EAST BARBOUR STREET ,EUFAULA ,AL,36027
28,01,2533,DAVITA WALKER COUNTY DIALYSIS ,260 6TH AVENUE NORTHWEST,JASPER,AL,35504
29,01,2534,BESSEMER KIDNEY CENTER,975 9TH AVE SWSUITE 500 ,BESSEMER,AL,35022
30,01,2535,DAVITA PDI-PRATTVILLE ,600 MCQUEEN SMITH ROAD SOUTH,PRATTVILLE,AL,36066
31,01,2536,FMC MONTCLAIR ,7780 LUDINGTON LANE ,BIRMINGHAM,AL,35210
32,01,2537,FMC PRICHARD,4016 HWY 45 ,WHISTLER,AL,36613
33,01,2538,RCG ANDALUSIA ,1208 WEST BYPASS,ANDALUSIA ,AL,36420
34,01,2540,FMC MONROEVILLE (WHETSTONE) ,676 S ALABAMA AVE ,MONROEVILLE ,AL,36460
35,01,2541,FMC DADEVILLE ,52 WATERWORKS RD,DADEVILLE ,AL,36853
36,01,2542,DAVITA RAINBOW CITY DIALYSIS,2800 RAINBOW DRIVE,RAINBOW CITY,AL,35906
37,01,2543,DAVITA DEMOPOLIS DIALYSIS ,511 S CEDAR AVE ,DEMOPOLIS ,AL,36732
38,01,2544,DAVITA OZARK DIALYSIS ,195 BUNTING DRIVE ,OZARK ,AL,36360
39,01,2545,DAVITA TUSCALOOSA DIALYSIS,805 OLD MILL STREET ,TUSCALOOSA,AL,35401
40,01,2546,FMC TUSKEGEE,802 E. MARTIN LUTHER KING HWY ,TUSKEGEE,AL,36083
41,01,2547,FMC EASTERN SHORE ,124 PROFESSIONAL PARK DR,FAIRHOPE,AL,36532
42,01,2548,DAVITA FAYETTE DIALYSIS ,2450 TEMPLE AVE N ,FAYETTE ,AL,35555
43,01,2550,DAVITA GREENE COUNTY DIALYSIS ,544 HIGHWAY 43,EUTAW ,AL,35462
44,01,2551,DAVITA SHEFFIELD DIALYSIS ,1120 S JACKSON HWY STE 107,SHEFFIELD ,AL,35660
45,01,2552,BIO-MEDICAL APPLICATIONS OF ALABAMA INC ,65 NORTH CATHERINE STREET ,MOBILE,AL,36604
46,01,2553,DAVITA PDI-ELMORE COUNTY,125 HOSPITAL DRIVE,WETUMPKA,AL,36092
47,01,2556,"NNA OF ALABAMA, INC ",7067 VETERANS PKWY SUITE 120,PELL CITY ,AL,35125
48,01,2558,DCI DECATUR ,1601 6TH AVENUE SOUTH EAST,DECATUR ,AL,35601
49,01,2559,FMC UNIVERSITY SOUTH ALABAMA,700 CLINIC DRIVE,MOBILE,AL,36688
50,01,2561,FKC ARAB,310 SOUTH BRINDLEE MOUNTAIN PARKWAY ,ARAB,AL,35016
51,01,2562,DCI PELL CITY ,62 COGSWELL DRIVE ,PELL CITY ,AL,35125
52,01,2563,DCI CULLMAN ,1734 EVA ROAD NE,CULLMAN ,AL,35055
53,01,2565,DAVITA SOUTH BALDWIN DIALYSIS CENTER,150 W PEACHTREE AVE ,FOLEY ,AL,36535
54,01,2566,FMC SYLACAUGA ,314 WEST SPRING STREET,SYLACAUGA ,AL,35150
55,01,2568,FMC PARKWAY ,1311 N MEMORIAL PKWY STE 100,HUNTSVILLE,AL,35801
56,01,2570,DAVITA NORTHORT DIALYSIS,2401 HOSPITAL DRIVE ,NORTHPORT ,AL,35476
57,01,2571,DCI GEORGIANA ,P O BOX 618 ,GEORGIANA ,AL,36033
58,01,2572,FMC CAMELLIA,350 PAUL STABLER DRIVE,GREENVILLE,AL,36037
59,01,2573,DCI BIRMINGHAM,8713 PARKWAY EAST ,BIRMINGHAM,AL,35206
60,01,2574,FMC CHAMBERS,802 HOSPITAL STREET ,LAFAYETTE ,AL,36862
61,01,2575,RCG WALKER,3510 3RD STREET NE,JASPER,AL,35504
62,01,2576,DCI MONTGOMERY,544 SOUTH MCDONOUGH STREET,MONTGOMERY,AL,36104
63,01,2578,RCG SOUTHSIDE ,2131 MAGNOLIA AVE SOUTH #100,BIRMINGHAM,AL,35205
64,01,2579,FMC DAUPHIN ISLAND PKWY ,2381 DAUPHIN ISLAND PARKWAY ,MOBILE,AL,36605
65,01,2580,FMC THOMASVILLE ,30230 HWY 43,THOMASVILLE ,AL,36784
66,01,2582,FMC WILCOX,229 CAMDEN BYPASS ,CAMDEN,AL,36726
67,01,2583,DAVITA BESSEMER DIALYSIS,901 WESTLAKE MALL STE 101 ,BESSEMER,AL,35020
68,01,2585,DAVITA ENSLEY DIALYSIS,2630 AVENUE E ,BIRMINGHAM,AL,35218
69,01,2588,DAVITA SYLACAUGA DIALYSIS ,331 JAMES PAYTON BLVD ,SYLACAUGA ,AL,35150
70,01,2589,DAVITA BIRMINGHAM NORTH DIALYSIS,1917 32ND AVENUE NORTH,BIRMINGHAM,AL,35207
71,01,2590,DCI MOULTON ,1962 MAIN STREET,MOULTON ,AL,35650
72,01,2591,FMC SHELBY,1022 FIRST STREET NORTH SUITE 101 ,ALABASTER ,AL,35007
73,01,2592,BIRMINGHAM CENTRAL DIALYSIS ,728 RICHARD ARRINGTON BLVD S,BIRMINGHAM,AL,35233
74,01,2593,FMC ODYSSEY DIALYSIS,40 HUGHES ROAD,MADISON ,AL,35758
75,01,2594,DAVITA BOAZ DIALYSIS,16 CENTRAL HENDERSON ROAD ,BOAZ,AL,35957
76,01,2595,RCG FORT PAYNE,2202 JORDAN ROAD SW SUITE 100 ,FORT PAYNE,AL,35968
77,01,2596,FKC MONTGOMERY,3625 MCGEHEE PLACE DRIVE NORTH,MONTGOMERY,AL,36111
78,01,2597,FMC BAY MINETTE ,2505 HAND AVENUE,BAY MINETTE ,AL,36507
79,01,2598,DCI PHENIX CITY ,1611 21ST COURT ,PHENIX CITY ,AL,36867
