bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_i0036	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0024	bnchmk_l0025	bnchmk_l0026	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0036
E5088_801_0	2012	9	141228	808.9667	0.0067	0.916	0.9098628	736.0487	749.94	824.23	0	0	15.26	141228	140466	0.916	0.916	762	0.916		0	808.9667	741.0135	1	824.2342	0.74	0.26	1	3		0.716666667	0.52532		N/A		0.47468	0.082172062	0.160727721	0.224	n/a	n/a	n/a	37968	0.268841873	n/a
E6036_801_0	2012	6	28896	598.3415	0.007913954	0.949168453	0.941656777	563.4324	397	421.6	166.43	119.27	0	28896	28896	0.949168453	0.949168453	0	0		0	598.3415	567.9269	1	421.5973	0.74	0.26	1	3		0.716666667	0.52532		N/A		0.47468	0.152800164	0.122562582	0.224	n/a	n/a	n/a	21055	0.728647564	"San Juan-Caguas-Guaynabo, PR"
H0084_001_0	2012	9	32039.11558	953.0777	0.018109239	0.861805743	0.846199096	806.4935	730.63	863.43	75.86	55.63	0	32039.11558	30227.91893	0.832267577	0.861805743	1811.196653	1.354782184		0	953.0777	821.3678	1	863.4256	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.076294282	0.192511241	0.224	n/a	n/a	n/a	8449.847294	0.263735348	n/a
H0084_003_0	2012	7	597.3360618	967.2421	0.003410468	1.725453156	1.719568554	1663.2392	1586.55	922.64	76.69	56.24	0	597.3360618	0	1.725453156	1.725453156	597.3360618	1.725453156		0	967.2421	1668.931	1	922.6442	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.075856641	0.192759158	0.224	n/a	n/a	n/a	168.9103597	0.282772748	n/a
H0084_004_0	2012	6	1996.904416	983.158	0.011506574	1.266981937	1.252403316	1231.3103	1074.44	857.9	156.87	115.04	0	1996.904416	1996.904416	1.266981937	1.266981937	0	0		0	983.158	1245.6434	1	857.9026	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.075426791	0.191249602	0.224	n/a	n/a	n/a	661.1928986	0.331108937	n/a
H0084_005_0	2012	6	1085.062354	967.2421	0.004695326	1.170149709	1.164655475	1126.5039	1035.21	888.86	91.29	66.95	0	1085.062354	0	1.170149709	1.170149709	1085.062354	1.170149709		0	967.2421	1131.8181	1	888.8551	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.075856641	0.192759158	0.224	n/a	n/a	n/a	306.8260637	0.282772748	n/a
H0084_006_0	2012	7	4909.53658	796.459	0.003410468	1.654297493	1.648655565	1313.0866	1233.79	748.36	79.3	58.15	0	4909.53658	0	1.654297493	1.654297493	4909.53658	1.654297493		0	796.459	1317.5801	1	748.3613	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.08246492	0.194303827	0.224	n/a	n/a	n/a	3878.209531	0.789933931	"Peoria, IL"
H0084_007_0	2012	6	5032.274994	798.2803	0.011506574	1.262088288	1.247565976	995.9073	827.21	663.06	168.7	123.71	0	5032.274994	5032.274994	1.262088288	1.262088288	0	0		0	798.2803	1007.5002	1	663.0591	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.082332281	0.194519831	0.224	n/a	n/a	n/a	4117.427492	0.818203993	"Peoria, IL"
H0084_009_0	2012	5	1227.384145	798.2803	0.009586133	0.759927853	0.752643083	600.8201	570.92	758.55	29.9	21.93	0	1227.384145	1227.384145	0.759927853	0.759927853	0	0		0	798.2803	606.6354	1	758.5534	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.082332281	0.194519831	0.224	n/a	n/a	n/a	1004.250608	0.818203993	"Peoria, IL"
H0084_010_0	2012	7	5301.006075	797.9423	0.003410468	1.65337604	1.647737255	1314.7992	1254.8	761.53	60	44	0	5301.006075	0	1.65337604	1.65337604	5301.006075	1.65337604		0	797.9423	1319.2986	1	761.5292	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.088124934	0.143916931	0.224	n/a	n/a	n/a	3336.082312	0.62933003	"Des Moines-West Des Moines,IA"
