FILE	NAME	TYPE	FIELD_TITLE
ma_1.txt	contract_year	CHAR	Contract Year (2018)
ma_1.txt	bid_id	CHAR	"BID ID (H-number, Plan ID, Segment ID)"
ma_1.txt	version	NUM	Version Number
ma_1.txt	base_c0027	NUM	Inpatient Facility Utilizers( MA Base!C0027)
ma_1.txt	base_c0028	NUM	Skilled Nursing Facility Utilizers( MA Base!C0028)
ma_1.txt	base_c0029	NUM	Home Health Utilizers( MA Base!C0029)
ma_1.txt	base_c0030	NUM	Ambulance Utilizers( MA Base!C0030)
ma_1.txt	base_c0031	NUM	DME/Prosthetics/Diabetes Utilizers( MA Base!C0031)
ma_1.txt	base_c0032	NUM	OP Facility - Emergency Utilizers( MA Base!C0032)
ma_1.txt	base_c0033	NUM	OP Facility - Surgery Utilizers( MA Base!C0033)
ma_1.txt	base_c0034	NUM	OP Facility - Other Utilizers( MA Base!C0034)
ma_1.txt	base_c0035	NUM	Professional Utilizers( MA Base!C0035)
ma_1.txt	base_c0036	NUM	Part B Rx Utilizers( MA Base!C0036)
ma_1.txt	base_c0037	NUM	Other Medicare Covered Utilizers( MA Base!C0037)
ma_1.txt	base_c0038	NUM	Transportation (Non-Covered) Utilizers( MA Base!C0038)
ma_1.txt	base_c0039	NUM	Dental (Non-Covered) Utilizers( MA Base!C0039)
ma_1.txt	base_c0040	NUM	Vision (Non-Covered) Utilizers( MA Base!C0040)
ma_1.txt	base_c0041	NUM	Hearing (Non-Covered) Utilizers( MA Base!C0041)
ma_1.txt	base_c0042	NUM	Suppl. Ben. Chpt 4 Utilizers( MA Base!C0042)
ma_1.txt	base_c0043	NUM	Other Non-Covered Utilizers( MA Base!C0043)
ma_1.txt	base_d0005	CHAR	Contract Number( MA Base!D0005)
ma_1.txt	base_d0006	CHAR	Plan ID( MA Base!D0006)
ma_1.txt	base_d0007	CHAR	Segment ID( MA Base!D0007)
ma_1.txt	base_d0027	NUM	Inpatient Facility Net PMPM( MA Base!D0027)
ma_1.txt	base_d0028	NUM	Skilled Nursing Facility Net PMPM( MA Base!D0028)
ma_1.txt	base_d0029	NUM	Home Health Net PMPM( MA Base!D0029)
ma_1.txt	base_d0030	NUM	Ambulance Net PMPM( MA Base!D0030)
ma_1.txt	base_d0031	NUM	DME/Prosthetics/Diabetes Net PMPM( MA Base!D0031)
ma_1.txt	base_d0032	NUM	OP Facility - Emergency Net PMPM( MA Base!D0032)
ma_1.txt	base_d0033	NUM	OP Facility - Surgery Net PMPM( MA Base!D0033)
ma_1.txt	base_d0034	NUM	OP Facility - Other Net PMPM( MA Base!D0034)
ma_1.txt	base_d0035	NUM	Professional Net PMPM( MA Base!D0035)
ma_1.txt	base_d0036	NUM	Part B Rx Net PMPM( MA Base!D0036)
ma_1.txt	base_d0037	NUM	Other Medicare Covered Net PMPM( MA Base!D0037)
ma_1.txt	base_d0038	NUM	Transportation (Non-Covered) Net PMPM( MA Base!D0038)
ma_1.txt	base_d0039	NUM	Dental (Non-Covered) Net PMPM( MA Base!D0039)
ma_1.txt	base_d0040	NUM	Vision (Non-Covered) Net PMPM( MA Base!D0040)
ma_1.txt	base_d0041	NUM	Hearing (Non-Covered) Net PMPM( MA Base!D0041)
ma_1.txt	base_d0042	NUM	Suppl. Ben. Chpt 4 (Non-Covered) Net PMPM( MA Base!D0042)
ma_1.txt	base_d0043	NUM	Other Non-Covered Net PMPM( MA Base!D0043)
ma_1.txt	base_d0044	NUM	COB/Subrg. (Outside Claim system) Net PMPM( MA Base!D0044)
ma_1.txt	base_d0045	NUM	Net PMPM Total Medical Expenses( MA Base!D0045)
ma_1.txt	base_d0055	NUM	Base Period Summary CMS Revenue ESRD( MA Base!D0055)
ma_1.txt	base_d0056	NUM	Base Period Summary Premium Revenue ESRD( MA Base!D0056)
ma_1.txt	base_d0057	NUM	Base Period Summary Total Revenue ESRD( MA Base!D0057)
ma_1.txt	base_d0059	NUM	Base Period Summary Net Medical Expenses ESRD( MA Base!D0059)
ma_1.txt	base_d0061	NUM	Base Period Summary Member Months ESRD( MA Base!D0061)
ma_1.txt	base_d0064	NUM	Base Period Summary PMPMs: Revenue PMPM ESRD( MA Base!D0064)
ma_1.txt	base_d0065	NUM	Base Period Summary PMPMs: Net Medical PMPM ESRD( MA Base!D0065)
ma_1.txt	base_e0016	DATE	Time Period Definition - Paid through( MA Base!E0016)
ma_1.txt	base_e0027	NUM	Inpatient Facility Cost Sharing( MA Base!E0027)
ma_1.txt	base_e0028	NUM	Skilled Nursing Facility Cost Sharing( MA Base!E0028)
ma_1.txt	base_e0029	NUM	Home Health Cost Sharing( MA Base!E0029)
ma_1.txt	base_e0030	NUM	Ambulance Cost Sharing( MA Base!E0030)
ma_1.txt	base_e0031	NUM	DME/Prosthetics/Diabetes Cost Sharing( MA Base!E0031)
ma_1.txt	base_e0032	NUM	OP Facility - Emergency Cost Sharing( MA Base!E0032)
ma_1.txt	base_e0033	NUM	OP Facility - Surgery Cost Sharing( MA Base!E0033)
