bid_id	contract_year	version	esrd_enroll_a0021	esrd_enroll_b0021	esrd_enroll_c0021	esrd_enroll_d0021	esrd_enroll_e0021	esrd_enroll_f0021	esrd_enroll_g0021	esrd_enroll_h0021	esrd_enroll_i0021
H0544_015_0	2018	7	5400	CA	Orange	F	216	3.548810444	890.45	0	3160.03826
H0544_015_0	2018	7	5210	CA	Los Angeles	F	0	3.548810444	944.68	0	
H0544_015_0	2018	7	5200	CA		D	14899	1.16381342	7748.72	0.002777213	8998.403931
H0544_015_0	2018	7	5200	CA		T	86	2.487684729	7748.72	0	19276.37241
H0544_015_0	2018	7	5200	CA	Los Angeles	F	823	3.548810444	944.68	0	3352.49025
H0544_020_0	2018	5	5460	CA		D	2633	1.152115	7748.72	0.0056488	8887.829629
H0544_020_0	2018	5	5460	CA		T	12	2.487684729	7748.72	0	19276.37241
H0544_020_0	2018	5	5460	CA	San Bernardino	F	96	3.539650727	911.42	0	3226.108466
H1343_001_0	2018	5	14141	IL		D	1991.36	1.117158167	7129.48	0	7964.756809
H1343_001_0	2018	5	14141	IL		T	20.32	2.66965544	7129.48	0	19033.25507
H1343_001_0	2018	5	14141	IL	Cook	F	20.32	3.498285428	915.72	0	3203.449932
H2649_056_0	2018	3	45801	TX		D	131.8252058	0.975429263	6894.17	0	6724.775162
H2649_056_0	2018	3	45801	TX		T	2.234325522	3.056260743	6894.17	0	21070.38112
H2649_056_0	2018	3	45801	TX	Montgomery	F	1.117162761	3.403034272	986.91	0	3358.488553
H2649_056_0	2018	3	45610	TX		D	1562.910703	0.975429263	6894.17	0	6724.775162
H2649_056_0	2018	3	45610	TX		T	5.585813806	3.056260743	6894.17	0	21070.38112
H2649_056_0	2018	3	45530	TX		D	60.32678911	0.975429263	6894.17	0	6724.775162
H2649_060_0	2018	4	6290	CO		D	61.34663342	1.031293563	6419.98	0	6620.884047
H2649_060_0	2018	4	6200	CO		D	145.1371571	1.031293563	6419.98	0	6620.884047
H2649_060_0	2018	4	6200	CO	El Paso	F	1.496259352	3.421957352	887.48	0	3036.918711
H2649_060_0	2018	4	6170	CO		D	7.481296758	1.031293563	6419.98	0	6620.884047
H2649_060_0	2018	4	6170	CO		T	4.488778055	2.579701788	6419.98	0	16561.63389
H2649_060_0	2018	4	6170	CO	Douglas	F	7.481296758	3.421957352	908.9	0	3110.217037
H2649_060_0	2018	4	6150	CO		D	179.5511222	1.031293563	6419.98	0	6620.884047
H2649_060_0	2018	4	6020	CO		D	119.7007481	1.031293563	6419.98	0	6620.884047
H2649_060_0	2018	4	6000	CO		D	73.31670823	1.031293563	6419.98	0	6620.884047
H3240_017_0	2018	8	31370	NJ	Union	F	12.3	2.750161528	866.34	0.01547744	2352.078354
H3240_017_0	2018	8	31350	NJ	Somerset	F	5.7	2.750161528	839.9	0.01547744	2280.294814
H3240_017_0	2018	8	31320	NJ	Passaic	F	40.65	2.750161528	881.2	0.01547744	2392.422658
H3240_017_0	2018	8	31320	NJ		D	2388.3	1.030714046	8296.77	0.006247529	8509.657688
H3240_017_0	2018	8	31310	NJ	Ocean	F	1.2	2.750161528	881.9	0.01547744	2394.32313
H3240_017_0	2018	8	31290	NJ	Monmouth	F	2.4	2.750161528	891.49	0.01547744	2420.359595
H3240_017_0	2018	8	31270	NJ	Middlesex	F	21.2	2.750161528	853.2	0.01547744	2316.403781
H3240_017_0	2018	8	31230	NJ	Hudson	F	6.5	2.750161528	896.03	0.01547744	2432.685513
H3240_017_0	2018	8	31200	NJ	Essex	F	32.25	2.750161528	884.91	0.01547744	2402.495159
H3240_017_0	2018	8	31100	NJ	Bergen	F	3.5	2.750161528	891.66	0.01547744	2420.821139
H3262_001_0	2018	5	33590	NY	Queens	F	2.835	3.381761983	870.07	0	2942.369648
H3262_001_0	2018	5	33420	NY	New York	F	2.835	3.381761983	878.66	0	2971.418984
H3262_001_0	2018	5	33331	NY	Kings	F	2.835	3.381761983	853.46	0	2886.198582
H3262_001_0	2018	5	33020	NY		D	1111.32	1.151650236	7420.42	0	8545.728441
H3262_001_0	2018	5	33020	NY		T	11.34	2.899606159	7420.42	0	21516.29554
H3262_001_0	2018	5	33020	NY	Bronx	F	2.835	3.381761983	928.83	0	3141.081982
H5817_025_0	2018	9	45970	TX	Williamson	F	2.22328838	2.762143829	862.25	0.01547744	2351.173662
H5817_025_0	2018	9	45940	TX	Travis	F	39.22613122	2.762143829	842.53	0.01547744	2297.401387
H5817_025_0	2018	9	45631	TX	Hays	F	5.778528141	2.762143829	856.23	0.01547744	2334.758393
H5817_025_0	2018	9	45480	TX	El Paso	F	133.1134527	2.762143829	823.41	0.01547744	2245.265184
H5817_025_0	2018	9	45480	TX		D	4772.841799	1.04429928	6894.17	0.006247529	7164.267808
H5817_025_0	2018	9	45320	TX	Comal	F	2.22328838	2.762143829	850.9	0.01547744	2320.224609
H5817_025_0	2018	9	45130	TX	Bexar	F	68.63751112	2.762143829	825.28	0.01547744	2250.364279
