bid_id	contract_year	version	esrd_projection_b0016	esrd_projection_b0017	esrd_projection_b0018	esrd_projection_b0019	esrd_projection_b0020	esrd_projection_b0021	esrd_projection_b0022	esrd_projection_b0023	esrd_projection_b0024	esrd_projection_b0025	esrd_projection_b0026	esrd_projection_b0027	esrd_projection_b0028	esrd_projection_b0029	esrd_projection_b0030	esrd_projection_b0031	esrd_projection_b0032	esrd_projection_b0037	esrd_projection_b0055	esrd_projection_b0056	esrd_projection_b0057	esrd_projection_b0058	esrd_projection_b0061	esrd_projection_b0062	esrd_projection_c0016	esrd_projection_c0017	esrd_projection_c0018	esrd_projection_c0019	esrd_projection_c0020	esrd_projection_c0021	esrd_projection_c0022	esrd_projection_c0023	esrd_projection_c0024	esrd_projection_c0025	esrd_projection_c0026	esrd_projection_c0027	esrd_projection_c0028	esrd_projection_c0029	esrd_projection_c0030	esrd_projection_c0032	esrd_projection_c0037	esrd_projection_c0055	esrd_projection_c0056	esrd_projection_c0057	esrd_projection_c0058	esrd_projection_c0061	esrd_projection_c0062	esrd_projection_d0016	esrd_projection_d0017	esrd_projection_d0018	esrd_projection_d0019	esrd_projection_d0020	esrd_projection_d0021	esrd_projection_d0022	esrd_projection_d0023	esrd_projection_d0024	esrd_projection_d0025	esrd_projection_d0026	esrd_projection_d0027	esrd_projection_d0028	esrd_projection_d0029	esrd_projection_d0030	esrd_projection_d0031	esrd_projection_d0032	esrd_projection_d0034	esrd_projection_d0037	esrd_projection_d0038	esrd_projection_d0040	esrd_projection_d0043	esrd_projection_d0044	esrd_projection_d0045	esrd_projection_d0046	esrd_projection_d0047	esrd_projection_d0048	esrd_projection_d0049	esrd_projection_d0050	esrd_projection_d0051	esrd_projection_d0052	esrd_projection_d0053	esrd_projection_d0055	esrd_projection_d0056	esrd_projection_d0057	esrd_projection_d0058	esrd_projection_d0061	esrd_projection_d0062	esrd_projection_e0016	esrd_projection_e0017	esrd_projection_e0018	esrd_projection_e0019	esrd_projection_e0020	esrd_projection_e0021	esrd_projection_e0022	esrd_projection_e0023	esrd_projection_e0024	esrd_projection_e0025	esrd_projection_e0026	esrd_projection_e0027	esrd_projection_e0028	esrd_projection_e0029	esrd_projection_e0030	esrd_projection_e0032	esrd_projection_e0070	esrd_projection_e0071	esrd_projection_e0073	esrd_projection_e0074	esrd_projection_e0076	esrd_projection_e0077	esrd_projection_e0081	esrd_projection_e0082	esrd_projection_e0087	esrd_projection_e0088	esrd_projection_f0016	esrd_projection_f0017	esrd_projection_f0018	esrd_projection_f0019	esrd_projection_f0020	esrd_projection_f0021	esrd_projection_f0022	esrd_projection_f0023	esrd_projection_f0024	esrd_projection_f0025	esrd_projection_f0026	esrd_projection_f0027	esrd_projection_f0028	esrd_projection_f0029	esrd_projection_f0030	esrd_projection_f0032	esrd_projection_g0016	esrd_projection_g0017	esrd_projection_g0018	esrd_projection_g0019	esrd_projection_g0020	esrd_projection_g0021	esrd_projection_g0022	esrd_projection_g0023	esrd_projection_g0024	esrd_projection_g0025	esrd_projection_g0026	esrd_projection_g0027	esrd_projection_g0028	esrd_projection_g0029	esrd_projection_g0030	esrd_projection_g0031	esrd_projection_g0032	esrd_projection_g0034	esrd_projection_g0037	esrd_projection_g0038	esrd_projection_g0040	esrd_projection_g0043	esrd_projection_g0044	esrd_projection_g0045	esrd_projection_g0047	esrd_projection_g0048	esrd_projection_g0049	esrd_projection_g0050
H0544_015_0	2018	7	1564.361253	180.1182135	52.0621882	397.3806106	172.961427	3385.886683	332.1086458	379.1739679	225.6458945	40.4410338	37.21944941	55.08573601	55.01098328	42.44099774	9.915798609	0	6929.812882	165.892256	5770.021181	1119.914765	157.6031191	0	1491.917884	7261.939065	12.3409851	0.44637915	0	2.841100829	11.54091821	0	0	0	0	0	0	7.526820273	1.280270827	3.900462345	0	39.87693673	8.289136946	1164.969839	226.1112884	31.82013975	0	257.9314282	1422.901268	1552.020268	179.6718344	52.0621882	394.5395098	161.4205088	3385.886683	332.1086458	379.1739679	225.6458945	40.4410338	37.21944941	47.55891574	53.73071245	38.54053539	9.915798609	0	6889.935946	0	157.6031191	372.0031191	7261.939065	34.11918137	46.13727584	170.7479512	0	169.3791916		1002.517668	1422.901268	8684.840332	8684.888663	-0.048330404	6934.99102	1346.026053	189.4232589	0	1749.849312	8684.840332	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	1749.897642	214.4483304	0	0	-0.048330404	0	83.1	83.1	131.3	131.3	98.55475896	34.582697	0	79.47612212	34.59228539	677.1773365	66.42172915	75.83479358	45.12917889	8.088206759	7.443889883	11.0171472	11.00219666	8.488199547	1.983159722	1159.791701	86.21377387	34.13631784	0	76.63502129	23.05136718	677.1773365	66.42172915	75.83479358	45.12917889	8.088206759	7.443889883	3.490326929	9.721925829	4.587737202	1.983159722	0	1119.914765	0	157.6031191	372.0031191	1491.917884	0.05	NON-MEDICARE	PARENT-ORGANIZATION	0.836162645	0.048404298	0.115433057	0.163837355
H0544_020_0	2018	5	1471.589296	185.4428597	57.93921383	362.1391402	163.905903	3543.208681	353.7859894	342.4317035	339.7350691	30.9645572	38.62378614	51.36301285	55.71612517	40.25130665	18.62967961	0	7055.726323	63.58455958	5859.260178	1129.945131	54.90839567	7	1379.553526	7238.813704	21.00137594	3.430554171	0	10.56568931	13.84682062	0	0	0.04964079	0.049249871	0	0	11.74320787	2.810595262	3.023880984	0	66.52101483	8.676163911	1244.527477	240.0043213	11.66273643	0	251.6670577	1496.194534	1450.58792	182.0123055	57.93921383	351.5734509	150.0590824	3543.208681	353.7859894	342.3820628	339.6858193	30.9645572	38.62378614	39.61980498	52.90552991	37.22742566	18.62967961	0	6989.205308	7	54.90839567	249.6083957	7238.813704	43.35488777	46.19904944	170.7479375	0	170.9172479		1064.975412	1496.194534	8735.008238	8735.015795	-0.007557064	7103.787654	1369.949452	66.57113209	7	1631.220584	8735.008238	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	1631.228141	194.7075571	7	7	-0.007557064	0	79	79	108.7	108.7	92.71012563	35.60502907	0	72.42782804	32.7811806	708.6417362	70.75719789	68.48634071	67.94701383	6.19291144	7.724757228	10.27260257	11.14322503	8.05026133	3.725935921	1196.466145	71.70874969	32.17447489	0	61.86213873	18.93435997	708.6417362	70.75719789	68.43669992	67.89776396	6.19291144	7.724757228	-1.470605302	8.332629772	5.026380346	3.725935921	0	1129.945131	7	54.90839567	249.6083957	1379.553526	0.05	NON-MEDICARE	PARENT-ORGANIZATION	0.828712865	0.049366768	0.121920367	0.171287135
H1343_001_0	2018	5	2409.270383	612.5013734	171.2274072	336.3094543	52.25459149	2720.279504	191.8662633	140.4768532	322.7969366	260.5414162	143.7813976	154.422721	70.62632306	717.8752333	161.5783724	0	8465.80823	41.15029361	7141.862119	34.8751731	41.15029361	0	134.2254667	7276.087586	149.1399442	115.2776246	0	65.92580843	10.24450807	533.1871577	30.60270761	26.70888808	63.27522231	51.05918812	28.18824646	30.26876878	12.79888533	140.7200787	31.67390963	1289.070938	0	743.8231046	3.632240317	4.285792506	0	7.918032823	751.7411374	2260.130439	497.2237488	171.2274072	270.3836459	42.01008342	2187.092346	161.2635557	113.7679651	259.5217143	209.4822281	115.5931512	124.1539522	57.82743773	577.1551546	129.9044627	0	7176.737292	0	41.15029361	99.35029361	7276.087586	110.8240946	150.7277046	25.52489511	0	10.47		454.1944431	751.7411374	8027.828723	8027.828723	0	7885.685224	38.50741342	45.43608612	0	142.1434995	8027.828723	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	142.1434995	58.2	0	0	0	0	51.3	51.3	6.9	6.9	151.7840341	117.6002637	0	67.26189087	10.4509183	544.0559008	38.37325266	28.09537063	64.55938732	52.10828325	28.75627952	30.88454419	14.12526461	143.5750467	32.31567447	1323.946111	2.644089948	2.322639115	0	1.336082439	0.20641023	10.86874306	7.770545051	1.386482555	1.284165009	1.049095126	0.568033067	0.615775412	1.326379281	2.854967968	0.641764841	0	34.8751731	0	41.15029361	99.35029361	134.2254667	0.03	RISK-CAPITAL-SURPLUS	PARENT-ORGANIZATION	0.9063581	0.037064405	0.056577495	0.0936419
H2649_056_0	2018	3	1223.467662	95.48369222	39.45240065	384.2532114	37.03012212	3460.02287	55.14381253	280.7940993	110.2655256	110.5179959	18.84698874	12.04914243	28.38202958	89.30811096	0.670304738	0	5945.687968	987.3988965	4932.819794	512.1440442	960.2104703	0	1549.554514	6482.374308	40.71228237	5.038530495	0	35.86800594	2.963132308	352.5938895	0	26.91497862	9.711279384	9.373407762	1.634165821	1.376377164	2.801832557	11.73624818	0	500.7241301	27.18842626	234.0147358	24.29629669	45.55272824	0	69.84902493	303.8637607	1182.755379	90.44516173	39.45240065	348.3852055	34.06698981	3107.428981	55.14381253	253.8791207	100.5542463	101.1445881	17.21282292	10.67276527	25.58019702	77.57186278	0.670304738	0	5444.963838	0	960.2104703	1037.41047	6482.374308	24.85	54.04	13.73	0	135.0461758		76.19758492	303.8637607	6786.238069	6786.239985	-0.001915756	5166.83453	536.4403409	1005.763199	0	1619.403539	6786.238069	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	1619.405455	77.20191576	0	0	-0.001915756	0	27.9	27.9	49.3	49.3	77.07846268	18.33286891	0	76.85064229	7.406024423	692.004574	11.02876251	56.15881986	22.05310513	22.10359917	3.769397748	2.409828486	5.676405916	17.86162219	0.134060948	1012.868174	36.36618031	13.29433841	0	40.98263634	4.442892115	339.4106846	11.02876251	29.24384124	12.34182575	12.73019141	2.135231927	1.033451322	2.874573359	6.125374016	0.134060948	0	512.1440442	0	960.2104703	1037.41047	1549.554514	0.03	NON-MEDICARE	PARENT-ORGANIZATION	0.955223534	0.033548215	0.011228251	0.044776466
H2649_060_0	2018	4	1074.194318	113.1555484	61.87161019	498.1403747	47.93138419	3140.608155	53.50769365	322.3591323	123.562669	125.1233512	22.25746166	19.5389042	36.4921442	138.5015491	2.633922834	0	5779.878218	1001.175005	4784.346763	487.2300985	970.0892643	0	1546.319363	6330.666125	45.06698969	8.893573752	0	47.79515776	3.276428235	322.3373941	0	32.70159935	12.41948255	12.99537961	2.116015693	2.093105616	3.818045897	14.78818497	0	508.3013573	31.0857405	239.0585485	24.34533405	48.47226654	0	72.81760059	311.8761491	1029.127328	104.2619746	61.87161019	450.3452169	44.65495596	2818.270761	53.50769365	289.657533	111.1431865	112.1279715	20.14144597	17.44579858	32.67409831	123.7133641	2.633922834	0	5271.576861	0	970.0892643	1059.089264	6330.666125	27.62	60.59	12.19	0	132.1865913		79.28955787	311.8761491	6642.542275	6642.542274	3.00952E-09	5023.405311	511.5754325	1018.561531	0	1619.136963	6642.542275	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	1619.136963	89	0	0	3.00952E-09	0	43.4	43.4	45.6	45.6	67.674242	21.72586529	0	99.62807493	9.586276839	628.1216311	10.70153873	64.47182646	24.71253381	25.02467023	4.451492333	3.907780839	7.298428841	27.70030982	0.526784567	995.5314557	22.60725231	12.83229154	0	51.83291717	6.309848604	305.7842369	10.70153873	31.77022711	12.29305126	12.02929062	2.33547664	1.814675223	3.480382944	12.91212485	0.526784567	0	487.2300985	0	970.0892643	1059.089264	1546.319363	0.03	NON-MEDICARE	PARENT-ORGANIZATION	0.953048677	0.035014695	0.011936628	0.046951323
H3240_017_0	2018	8	1975.3537	220.3209543	69.729056	555.6526402	234.3260373	2995.019949	110.0882177	270.73905	123.5941971	484.9217709	159.926931	164.8505548	73.86176572	346.8081375	11.30742629	-5.361445325	7791.138942	311.5243172	6518.170701	743.7539642	297.3029815	0	1053.156946	7571.327646	62.15848198	20.90685314	0	54.40017362	6.513390685	294.4862513	0	0	12.15356342	6.411286958	15.72632167	16.21048334	5.718664828	34.10317632	0.425630321	529.2142776	14.22133572	544.6816147	62.15073658	24.84369856	0	86.99443514	631.6760499	1913.195218	199.4141011	69.729056	501.2524666	227.8126466	2700.533698	110.0882177	270.73905	111.4406337	478.5104839	144.2006094	148.6400714	68.14310089	312.7049612	10.88179597	-5.361445325	7261.924665	0	297.3029815	309.4029815	7571.327646	49.02617865	96.67137181	18.7774991	0	164.0597783		303.141222	631.6760499	8203.003696	8203.003696	0	7062.852315	805.9047008	322.1466801	0	1140.151381	8203.003696	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	1140.151381	12.1	0	0	0	0	12.1	12.1	0	0	124.4472831	42.30162322	0	111.130528	46.86520745	599.0039899	22.01764354	54.14781	24.71883942	96.98435418	31.98538621	32.97011096	14.77235314	69.3616275	2.261485258	1272.968242	62.2888011	21.39477008	0	56.73035443	40.35181677	304.5177385	22.01764354	54.14781	12.56527599	90.57306722	16.25906454	16.75962761	9.053688316	35.25845118	1.835854937	0	743.7539642	0	297.3029815	309.4029815	1053.156946	0.05	NON-MEDICARE	PARENT-ORGANIZATION	0.922994543	0.040050552	0.036954905	0.077005457
H3262_001_0	2018	5	3040.055188	487.3012907	108.8569609	281.0674502	58.87167219	3037.063079	169.1621489	129.5950422	513.8485835	291.2627594	151.5833055	167.6874024	56.35149061	753.8768902	124.5914127	0	9371.174677	40.04001467	7939.097105	35.64230125	40.04001467	0	130.6823159	8069.779421	188.1568589	91.73406293	0	55.10886919	11.5432347	595.5252879	27.69394372	23.77649724	100.7522977	57.0777469	29.71679593	32.88095904	10.22362095	147.8175293	24.42756651	1396.435271	0	544.8560421	2.446112314	2.747925064	0	5.194037378	550.0500795	2851.898329	395.5672277	108.8569609	225.958581	47.32843748	2441.537791	141.4682052	105.818545	413.0962858	234.1850125	121.8665095	134.8064434	46.12786966	606.059361	100.1638462	0	7974.739406	0	40.04001467	95.04001467	8069.779421	110.8240946	150.7277046	25.52489511	0	10.47		252.5033852	550.0500795	8619.8295	8619.8295	0	8483.953147	38.08841356	42.78793973	0	135.8763533	8619.8295	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	135.8763533	55	0	0	0	0	50	50	5	5	191.5234769	93.56184781	0	56.21349005	11.77433444	607.4126159	33.83242978	25.91900844	102.7697167	58.25255188	30.3166611	33.53748049	11.27029812	150.775378	24.91828254	1432.077572	3.366617942	1.827784877	0	1.104620854	0.231099733	11.88732798	6.138486055	2.142511198	2.017419022	1.17480498	0.599865166	0.656521448	1.046677174	2.957848789	0.490716025	0	35.64230125	0	40.04001467	95.04001467	130.6823159	0.03	RISK-CAPITAL-SURPLUS	PARENT-ORGANIZATION	0.936187824	0.034518861	0.029293316	0.063812176
H5817_025_0	2018	9	1671.402935	186.4198247	58.9997371	470.1535024	198.2991839	2534.171544	93.15228596	229.0886472	104.5805128	410.3219652	135.319642	139.4847413	62.49651761	293.4442269	10.64035173	-4.536477465	6593.439141	290.4823649	5516.117525	609.8744282	277.9081545	0	887.7825827	6403.900108	54.82897171	18.44159036	0	47.98549595	6.379544612	259.7614652	0	0	10.72086258	5.656603146	13.87202307	14.29899992	5.044339927	30.08184936	0.375441512	467.4471874	12.57421034	443.671308	49.05330316	22.35265544	0	71.4059586	515.0772666	1616.573963	167.9782343	58.9997371	422.1680065	191.9196393	2274.410079	93.15228596	229.0886472	93.85965021	404.6653621	121.4476189	125.1857414	57.45217768	263.3623775	10.26491021	-4.536477465	6125.991953	0	277.9081545	277.9081545	6403.900108	39.59451437	70.76176861	16.9863756	0	138.3792788		249.3553291	515.0772666	6918.977374	6918.977374	0	5959.788833	658.9277313	300.26081	0	959.1885413	6918.977374	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	959.1885413	1.81899E-12	0	0	0	0	0	0	0	0	105.2983849	35.79260634	0	94.03070048	39.65983679	506.8343089	18.63045719	45.81772945	20.91610256	82.06439305	27.0639284	27.89694827	12.49930352	58.68884538	2.128070345	1077.321616	50.46941317	17.35101598	0	46.04520453	33.28029218	247.0728437	18.63045719	45.81772945	10.19523998	76.4077899	13.19190533	13.59794835	7.454963595	28.60699602	1.752628833	0	609.8744282	0	277.9081545	277.9081545	887.7825827	0.05	NON-MEDICARE	PARENT-ORGANIZATION	0.925555868	0.038404799	0.036039333	0.074444132
H5943_001_0	2018	7	2644.310565	187.0160323	149.9850557	327.1027625	84.12633399	3750.616412	174.8470132	598.2527818	463.1201394	60.10765965	51.79996833	76.4332479	144.9286602	69.79335579	2.354564027	0	8784.794552	70.08928367	7421.599328	171.6752511	62.80866139	0	254.6839125	7676.283241	158.2489794	34.10892058	0	63.0823195	9.787608141	723.4880277	0.533278735	86.79999883	58.70884678	8.353481682	3.60660068	14.74385373	20.64695335	9.404242056	0.006861316	1191.519973	7.280622276	367.8568417	8.509205747	3.11315591	0	11.62236166	379.4792034	2486.061586	152.9071117	149.9850557	264.020443	74.33872584	3027.128384	174.3137345	511.452783	404.4112926	51.75417796	48.19336765	61.68939417	124.2817068	60.38911374	2.347702712	0	7593.27458	0	62.80866139	83.00866139	7676.283241	28.82609729	96.93011748	49.22874623	0	0		204.4942424	379.4792034	8055.762444	8055.762444	0	7789.45617	180.1844568	65.92181731	0	266.3062741	8055.762444	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	266.3062741	20.2	0	0	0	0	18	18	2.2	2.2	166.5915656	35.90707821	0	65.42055251	16.8252668	750.1232824	34.96940264	119.6505564	92.62402789	12.02153193	10.35999367	15.28664958	28.98573204	13.95867116	0.470912805	1363.195224	8.342586174	1.798157626	0	2.338233003	7.037658656	26.63525472	34.4361239	32.85055752	33.9151811	3.668050247	6.753392987	0.542795851	8.338778683	4.554429103	0.46405149	0	171.6752511	0	62.80866139	83.00866139	254.6839125	0.031	RISK-CAPITAL-SURPLUS	PARENT-ORGANIZATION	0.952893447	0.021721713	0.02538484	0.047106553
H5943_002_0	2018	6	1954.915937	0.013315784	0.049325853	292.4013788	66.00025452	5640.188655	116.0055629	20.12457018	812.4492978	43.93901421	40.75562189	0	35.01243752	31.5806601	1.588232565	0	9055.024264	74.34845034	7511.852866	114.6560107	67.87580647	0	202.0318172	7713.884684	118.6474158	0.002462961	0	56.94273033	7.815503505	1098.37971	4.543375392	0.04164179	125.1610926	7.841433273	2.265829466	0	4.420090219	2.450815428	0.003286373	1428.515387	6.472643867	534.874378	8.16397279	4.833032597	0	12.99700539	547.8713834	1836.268521	0.010852822	0.049325853	235.4586485	58.18475101	4541.808945	111.4621875	20.08292839	687.2882052	36.09758094	38.48979243	0	30.5923473	29.12984468	1.584946192	0	7626.508877	0	67.87580647	87.37580647	7713.884684	38.96187412	51.20118617	49.22874623	0	0		408.4795769	547.8713834	8261.756067	8261.756067	0	8046.727244	122.8199835	72.70883907	0	215.0288226	8261.756067	0.063	0.192	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	Sub-total cost sharing	215.0288226	19.5	0	0	0	0	17.8	17.8	1.7	1.7	123.159704	0.002556631	0	58.48027576	13.2000509	1128.037731	23.20111257	4.024914036	162.4898596	8.787802842	8.151124379	0	7.002487504	6.316132021	0.317646513	1543.171398	4.512288248	9.36691E-05	0	1.537545424	5.384547398	29.65802109	18.65773718	3.983272246	37.32876694	0.946369569	5.885294913	0	2.582397285	3.865316592	0.31436014	0	114.6560107	0	67.87580647	87.37580647	202.0318172	0.031	RISK-CAPITAL-SURPLUS	PARENT-ORGANIZATION	0.933685844	0.016871934	0.049442222	0.066314156
