bid_id	contract_year	version	esrd_experience_e0016	esrd_experience_e0029	esrd_experience_e0030	esrd_experience_e0031	esrd_experience_e0032	esrd_experience_e0033	esrd_experience_e0034	esrd_experience_e0035	esrd_experience_e0036	esrd_experience_e0037	esrd_experience_e0038	esrd_experience_e0039	esrd_experience_e0040	esrd_experience_e0041	esrd_experience_e0042	esrd_experience_e0043	esrd_experience_e0044	esrd_experience_e0045	esrd_experience_e0046	esrd_experience_e0047	esrd_experience_e0052	esrd_experience_f0017	esrd_experience_f0018	esrd_experience_f0019	esrd_experience_f0029	esrd_experience_f0030	esrd_experience_f0031	esrd_experience_f0032	esrd_experience_f0033	esrd_experience_f0034	esrd_experience_f0035	esrd_experience_f0036	esrd_experience_f0037	esrd_experience_f0038	esrd_experience_f0039	esrd_experience_f0040	esrd_experience_f0041	esrd_experience_f0042	esrd_experience_f0043	esrd_experience_f0044	esrd_experience_f0046	esrd_experience_f0047	esrd_experience_f0052	esrd_experience_g0011	esrd_experience_g0029	esrd_experience_g0030	esrd_experience_g0031	esrd_experience_g0032	esrd_experience_g0033	esrd_experience_g0034	esrd_experience_g0035	esrd_experience_g0036	esrd_experience_g0037	esrd_experience_g0038	esrd_experience_g0039	esrd_experience_g0040	esrd_experience_g0041	esrd_experience_g0042	esrd_experience_g0043	esrd_experience_g0044	esrd_experience_g0046	esrd_experience_g0047	esrd_experience_g0052	esrd_experience_g0055	esrd_experience_g0056	esrd_experience_g0057	esrd_experience_g0058	esrd_experience_g0059	esrd_experience_g0060	esrd_experience_g0061	esrd_experience_g0062	esrd_experience_g0063	esrd_experience_h0029	esrd_experience_h0030	esrd_experience_h0031	esrd_experience_h0032	esrd_experience_h0033	esrd_experience_h0034	esrd_experience_h0035	esrd_experience_h0036	esrd_experience_h0037	esrd_experience_h0038	esrd_experience_h0039	esrd_experience_h0040	esrd_experience_h0041	esrd_experience_h0042	esrd_experience_h0043	esrd_experience_h0046
H0544_015_0	2018	7	16368	1399.390383	153.853858	51.31496566	364.2576519	151.0918596	3100.286327	263.7084634	356.0611326	211.8914787	31.24793429	35.60565997	44.31298635	49.45975006	34.68964467	8.959327976	0	6256.131423	162.028065	162.028065	6418.159488	7851.543633	0	7851.543633	40.63422953	10.50281255	1.425405405	9.59736124	4.312678748	88.78941081	0.206764267	4.24448899	2.525889422	0.066038186	0.662409643	0.835797205	0.895359848	0.209771379	0.101325904	0	-1.761708986	-1.761708986	163.2480341	08/03/2017 at 3:31 PM	1440.024613	164.3566706	52.74037106	373.8550132	155.4045383	3189.075738	263.9152276	360.3056216	214.4173681	31.31397247	36.26806961	45.14878356	50.35510991	34.89941604	9.06065388	0	160.266356	160.266356	6581.407522	31.57566068	37.36730426	170.4991604	0	135.0911638	374.5332891	895.6028213	1270.13611	7851.543633	687	254	379	659	831	1604	1610	1610	1610	1610	1604	601	1021	632	727	851
H0544_020_0	2018	5	2490	1104.37034	140.9054017	54.16127113	293.3615927	133.3114536	3162.797615	309.0657553	325.1216859	322.5613671	23.44491284	35.05665118	34.51115665	46.20903085	32.23443913	17.1589489	0	6034.271621	41.46731094	41.46731094	6075.738932	7876.201433	0	7876.201433	31.90401291	9.564514742	1.521903195	7.870635841	3.777604516	90.08668183	0.202307547	5.693681671	5.648844181	0.036108336	0.650717746	0.647412431	0.841966927	0.241209525	0.11366006	0	-0.055218401	-0.055218401	158.7460431	08/03/2017 at 3:32 PM	1136.274353	150.4699165	55.68317433	301.2322286	137.0890582	3252.884296	309.2680628	330.8153675	328.2102113	23.48102118	35.70736893	35.15856908	47.05099778	32.47564865	17.27260896	0	41.41209254	41.41209254	6234.484975	47.54450559	37.3392866	170.587442	0	132.1971127	387.668347	1254.048111	1641.716458	7876.201433	99	34	81	105	136	260	262	262	262	262	260	88	171	101	169	89
H1343_001_0	2018	5	0																	0		0	0			0																		0	0	08-03-2017 at 12:12 PM																								0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2649_056_0	2018	3	1601	1116.292593	*	23.49202223	281.333053	31.58398839	3282.898412	81.43057742	293.8338098	129.9490193	110.0504475	20.10548378	191.5726205	15.99910777	92.32272409	*	*	*	219.2427923	*	*	6538.380737	0	6538.380737	58.38726397	*	1.22194437	10.21210984	0.947170499	90.72177947	3.532308494	8.647425845	4.046770793	4.249537296	0.66143725	12.47293199	1.279066238	2.013914191	*	*	0	*	*	08/02/2017 at 11:53 AM	1174.679857	*	24.7139666	291.5451629	32.53115889	3373.620191	84.96288592	302.4812357	133.9957901	114.2999848	20.76692103	204.0455525	17.27817401	94.33663828	*	*	219.2427923	*	*	22.92030115	50.22361569	12.55549663	0	24.07712299	109.7765365	*	363.0081364	6538.380737	77	*	22	192	71	232	181	214	178	179	152	55	32	93	*	131
H2649_060_0	2018	4	406	1158.071008	*	44.22507001	415.6214386	69.90874634	3562.555745	79.89840868	376.0528331	147.8227625	112.2411733	28.46999647	66.36446217	15.79521443	121.0776585	*	*	*	17.27316408	*	*	6355.393744	0	6355.393744	37.40523845	*	1.498245836	6.833710509	1.171797855	61.90476038	1.564038399	6.648051065	2.661368024	2.211364737	0.549324738	0.681752603	0.339722122	1.068046381	*	*	0	*	*	08/02/2017 at 12:06 PM	1195.476246	*	45.72331584	422.4551491	71.0805442	3624.460506	81.46244708	382.7008841	150.4841305	114.452538	29.0193212	67.04621477	16.13493656	122.1457049	*	*	17.27316408	*	*	14.98794183	60.2284693	30.98723621	0	108.6169818	214.8206291	*	-108.5241938	6355.393744	22	*	11	47	34	56	46	52	47	48	41	19	15	30	*	43
H3240_017_0	2018	8																		0		0	0			0																		0	0	08/06/2017 at 12:16 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		0	0																
H3262_001_0	2018	5	0																	0		0	0			0																		0	0	08-03-2017 at 12:14 PM																								0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H5817_025_0	2018	9																		0		0	0			0																		0	0	08/06/2017 at 12:22 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		0	0																
H5943_001_0	2018	7	9741	2562.937092	146.8782313	142.4997367	264.709408	66.10229677	2903.517057	167.2393826	435.5913412	417.9060177	48.88181192	45.60098032	63.20755747	112.7900558	52.77398813	*	*	*	54.42266619	*	*	7926.641183	0	7926.641183	109.9707093	6.30226287	6.114390074	11.35817241	2.836322625	124.5843416	7.175920778	15.74884403	17.93154476	2.089394346	1.956650503	2.712114921	4.050810292	1.44223847	*	*	0.003971769	*	*	08/03/2017 at 4:10 PM	2672.907801	153.1804941	148.6141267	276.0675805	68.93861939	3028.101399	174.4153034	451.3401853	435.8375625	50.97120626	47.55763082	65.91967239	116.8408661	54.2162266	*	*	54.42663796	*	*	25.39371555	78.25398376	51.44886734	0	0	155.0965666	*	125.0452186	7926.641183	421	77	184	982	511	953	826	822	934	681	1001	381	521	958	*	191
H5943_002_0	2018	6	4778	1826.928743	0.011231057	0.044342952	229.7982255	52.64123538	4319.016878	108.9661238	*	667.9423633	36.87134437	36.71688236	0	28.13988521	24.97433068	*	*	*	64.87489628	*	*	7853.938476	0	7853.938476	0.008212153	0.000573705	0.002265129	0.057036178	0.003865353	0.109649839	0.013657263	*	0.089822751	0.011996169	0.025023629	0	0.000920474	0.088014466	*	*	0.00027996	*	*	08/03/2017 at 4:11 PM	1826.936955	0.011804762	0.046608081	229.8552617	52.64510073	4319.126527	108.9797811	*	668.032186	36.88334054	36.74190599	0	28.14080569	25.06234515	*	*	64.87517624	*	*	36.73479417	27.81957908	51.49862667	0	0	116.0529999	*	439.6525624	7853.938476	212	46	99	566	227	573	463	*	553	349	537	0	178	566	*	125
