bid_id	contract_year	version	esrd_opt_sup_b0016	esrd_opt_sup_b0017	esrd_opt_sup_b0018	esrd_opt_sup_b0019	esrd_opt_sup_b0020	esrd_opt_sup_c0016	esrd_opt_sup_c0017	esrd_opt_sup_c0018	esrd_opt_sup_c0019	esrd_opt_sup_c0020	esrd_opt_sup_d0016	esrd_opt_sup_d0017	esrd_opt_sup_d0018	esrd_opt_sup_d0019	esrd_opt_sup_d0020	esrd_opt_sup_d0021	esrd_opt_sup_e0016	esrd_opt_sup_e0017	esrd_opt_sup_e0018	esrd_opt_sup_e0019	esrd_opt_sup_e0020	esrd_opt_sup_e0021	esrd_opt_sup_f0016	esrd_opt_sup_f0017	esrd_opt_sup_f0018	esrd_opt_sup_f0019	esrd_opt_sup_f0020	esrd_opt_sup_f0021	esrd_opt_sup_f0030	esrd_opt_sup_f0031	esrd_opt_sup_g0016	esrd_opt_sup_g0017	esrd_opt_sup_g0018	esrd_opt_sup_g0019	esrd_opt_sup_g0020	esrd_opt_sup_g0021	esrd_opt_sup_g0030	esrd_opt_sup_g0031	esrd_opt_sup_h0016	esrd_opt_sup_h0017	esrd_opt_sup_h0018	esrd_opt_sup_h0019	esrd_opt_sup_h0020	esrd_opt_sup_h0021	esrd_opt_sup_h0030	esrd_opt_sup_h0031	esrd_opt_sup_i0016	esrd_opt_sup_i0017	esrd_opt_sup_i0018	esrd_opt_sup_i0019	esrd_opt_sup_i0020	esrd_opt_sup_i0021	esrd_opt_sup_i0030	esrd_opt_sup_i0031	esrd_opt_sup_j0016	esrd_opt_sup_j0017	esrd_opt_sup_j0018	esrd_opt_sup_j0019	esrd_opt_sup_j0020	esrd_opt_sup_j0021	esrd_opt_sup_j0030
H0544_015_0	2018	7	1	2	3	4	5	Optional Dental 1					47.63877738					47.63877738	13.30877738					13.30877738	34.33	0	0	0	0	34.33	1086402.71	8.419964116	0.27					0.27	34837.29	0.27	0.4					0.4	0	0	35	0	0	0	0	35	1121240	8.689964116	811					811	129027
H0544_020_0	2018	5	1	2	3	4	5	Optional Dental 1					47.63877738					47.63877738	13.30877738					13.30877738	34.33	0	0	0	0	34.33	1086402.71	1.865716025	0.27					0.27	34837.29	0.059827253	0.4					0.4	0	0	35	0	0	0	0	35	1121240	1.925543279	139					139	582298
H1343_001_0	2018	5	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H2649_056_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0	3659537.543	12.86151231						0	1128142.554	3.964877851						0	810161.145	2.847326312	0	0	0	0	0	0	5597841.243	19.67371647						0	284534
H2649_060_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0	3659537.543	12.86151231						0	1128142.554	3.964877851						0	810161.145	2.847326312	0	0	0	0	0	0	5597841.243	19.67371647						0	284534
H3240_017_0	2018	8	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3262_001_0	2018	5	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H5817_025_0	2018	9	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H5943_001_0	2018	7	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H5943_002_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H6320_001_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H6622_031_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0	361111.4103	17.19168818						0	112068.9868	5.335348097						0	73319.81042	3.490588451	0	0	0	0	0	0	546500.2075	26.01762473						0	21005
H8552_028_0	2018	9	1	2	3	4	5						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518139.4423	31.49592379	0	0	0	0	0	0	7786.843505	0.473335573	0	0	0	0	0	0	38497.71424	2.340144322	0	0	0	0	0	0	564424	34.30940368	0	0	0	0	0	0	16451
H9312_001_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H9312_002_0	2018	6	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
