bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_e0038	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_f0038	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_h0038	bnchmk_i0036	bnchmk_i0038	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0024	bnchmk_l0025	bnchmk_l0026	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0014	bnchmk_u0015	bnchmk_u0016	bnchmk_u0017	bnchmk_u0018	bnchmk_u0036
H0028_004_0	2018	4	88730.49412	771.6762957	0.018273	0.931145	0.914130187	705.4125968	604.99	661.82	100.42	65.27	0	88730.49412	273.789796	85484.17207	0.931145	0.931145	0.931145	3246.322051	0.931145		0	771.6762957	771.6762957	718.5425244	718.5425244	1	661.8203931	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.061707703	0.116860303	0.212279473	n/a	n/a	n/a	45676.44178	0.516370603	88456.70433	341.29265	364.213228	273.789796	89436	Not in Metro Area
H0028_007_0	2018	5	4587.88325	847.57	0.000729	1.783562	1.782261783	1510.59162	1462.59	820.64	48	31.2	0	4587.88325	27.980719	0	1.783562	1.783562	1.783562	4587.88325	1.783562		0	847.57	847.57	1511.693644	1511.693644	1	820.6370207	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.082180229	0.159743291	0.212279473	n/a	n/a	n/a	4559.902531	1	4559.902531	3.147711	4.969039	27.980719	4596	"Omaha-Council Bluffs, NE-IA"
H0028_008_1	2018	2	116050.6018	823.9591294	0.003315	1.042988	1.039530495	856.5306415	716.57	689.32	139.96	90.97	0	116050.6018	284.905137	105874.0318	1.042988	1.042988	1.042988	10176.57001	1.042988		0	823.9591294	823.9591294	859.3794845	859.3794845	1	689.3208074	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.083214305	0.13927246	0.212279473	n/a	n/a	n/a	53293.97445	0.460360676	115765.6967	302.617299	370.78085	284.905137	116724	n/a
H0028_008_2	2018	2	27042.92842	800.3638619	0.003315	1.100434	1.096786061	877.8279277	778.28	709.6	99.55	64.71	0	27042.92842	70.409865	25898.89285	1.100434	1.100434	1.100434	1144.03557	1.100434		0	800.3638619	800.3638619	880.747606	880.747606	1	709.600557	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.083746325	0.119948187	0.212279473	n/a	n/a	n/a	26972.51855	1	26972.51855	91.241803	129.829778	70.409865	27264	Not in Metro Area
H0028_009_0	2018	2	2277.332933	808.6125018	0.000729	1.198669	1.19779517	968.5521493	943.08	787.35	25.47	16.56	0	2277.332933	0	227.733294	0.856758	1.198669	1.198669	2049.599639	1.236659111		0	808.6125018		969.2587389		1	787.3466377	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.084180457	0.13453593	0.212279473	n/a	n/a	n/a	1282.293181	0.563067948	2277.332933	12.310882	14.356185	0	2304	Not in Metro Area
H0029_001_0	2018	3	5927.222	888.58	0	0.928579267	0.928579267	825.1169647	703.16	757.24	121.96	79.27	0	5927.222	0	5334.4998	0.878059986	0.928579267	0	592.7222	1.383252795		0	888.58		825.1169647		1	757.2428389	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.071176942	0.141510781	0.212279473	n/a	n/a	n/a	5927.222	1	5927.222	29.815	5.963	0	5963	"Tacoma-Lakewood, WA"
H0029_004_0	2018	4	4360.678	882.48	0	0.944263391	0.944263391	833.2935569	691.15	731.95	142.14	92.39	0	4360.678	0	3924.6102	0.902205815	0.944263391	0	436.0678	1.322781568		0	882.48		833.2935569		1	731.9461994	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.070987898	0.139902166	0.212279473	n/a	n/a	n/a	4360.678	1	4360.678	21.935	4.387	0	4387	"Spokane-Spokane Valley, WA"
H0029_006_0	2018	2	1392.594	882.48	0	1.322781568	1.322781568	1167.328279	1066.56	806.3	100.77	65.5	0	1392.594	0	0	1.322781568	1.322781568	0	1392.594	1.322781568		0	882.48		1167.328279		1	806.3009233	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.070987898	0.139902166	0.212279473	n/a	n/a	n/a	1392.594	1	1392.594	7.005	1.401	0	1401	"Spokane-Spokane Valley, WA"
H0062_001_0	2018	4	8490.748	907.81	0	0.968122974	0.968122974	878.8717173	686.42	709.02	192.45	125.09	0	8490.748	0	7641.6732	0.899339195	0.968122974	0	849.0748	1.58717699		0	907.81		878.8717173		1	709.0214964	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.07477353	0.180134429	0.212279473	n/a	n/a	n/a	8490.748	1	8490.748	42.71	8.542	0	8542	"San Antonio-New Braunfels, TX"
H0062_002_0	2018	3	21999.208	942.4901139	0	1.002935661	1.002935661	945.2569454	750.39	748.19	194.87	126.67	0	21999.208	0	19799.2872	0.938439516	1.002935661	0	2199.9208	1.583400968		0	942.4901139		945.2569454		1	748.1935573	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.073244443	0.180280725	0.212279473	n/a	n/a	n/a	13390.2518	0.608669721	21999.208	110.66	22.132	0	22132	"Dallas-Plano-Irving, TX"
H0062_003_0	2018	4	8182.608	842.4341883	0	0.984016359	0.984016359	828.9690223	610.12	620.03	218.85	142.25	0	8182.608	0	7364.3472	0.911514115	0.984016359	0	818.2608	1.636536549		0	842.4341883		828.9690223		1	620.0303427	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.07189325	0.189932218	0.212279473	n/a	n/a	n/a	4981.811353	0.608829282	8182.608	41.16	8.232	0	8232	"McAllen-Edinburg-Mission, TX"
H0062_004_0	2018	4	3917.354	900	0	0.919590734	0.919590734	827.6316607	635.23	690.77	192.4	125.06	0	3917.354	0	3525.6186	0.849177992	0.919590734	0	391.7354	1.553305409		0	900		827.6316607		1	690.7746853	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.074957667	0.196120272	0.212279473	n/a	n/a	n/a	3917.354	1	3917.354	19.705	3.941	0	3941	"El Paso, TX"
H0062_005_0	2018	4	1888.6	867.34	0	0.974458344	0.974458344	845.1867001	660.91	678.23	184.28	119.78	0	1888.6	0	1699.74	0.926550019	0.974458344	0	188.86	1.405633266		0	867.34		845.1867001		1	678.2331991	0.665	0.335	1	4	New contract under existing parent org	0.65	0.4434		N/A		0.5566	0.076438251	0.185945274	0.212279473	n/a	n/a	n/a	1888.6	1	1888.6	9.5	1.9	0	1900	Not in Metro Area
