bid_id	contract_year	version	summ_d0025	summ_d0027	summ_d0028	summ_d0029	summ_d0031	summ_d0032	summ_d0033	summ_d0034	summ_d0055	summ_e0014	summ_e0025	summ_e0027	summ_e0028	summ_e0029	summ_i0023	summ_i0025	summ_i0026	summ_i0027	summ_i0028	summ_i0029	summ_i0030	summ_j0023	summ_j0025	summ_j0026	summ_j0027	summ_j0028	summ_j0029	summ_j0030	summ_k0023	summ_k0025	summ_k0026	summ_k0027	summ_k0028	summ_k0029	summ_k0030	summ_l0013	summ_l0014	summ_l0023	summ_l0025	summ_l0026	summ_l0027	summ_l0028	summ_l0029	summ_l0030	summ_l0031	summ_m0025	summ_m0026	summ_m0027	summ_r0013	summ_r0014	summ_r0022	summ_r0024	summ_r0025	summ_r0027	summ_r0029	summ_r0030	summ_r0031	summ_r0035	summ_r0036	summ_r0041	summ_r0042
H0028_004_0	2018	4	*	78.38284666	*	604.9886599	771.6762957	705.4125968	0.931145	0.914130187	08/05/2017 at 10:37 AM	109	*	5.751851344	*	44.39497907	n/a	*	*	0	12.7	8.2	*	n/a	3.845366109	1.903248926	n/a	n/a	n/a	5.748615035	n/a	*	*	n/a	n/a	n/a	*	0	0	65.27	29.68	14.69	0	12.7	8.2	65.27	0	29.69	14.7	109	29.68	14.69	44.39	-29.68	-14.69	0.02	0	0.02	0	12.7	12.7	8.2	8.2
H0028_007_0	2018	5	1135.968589	125.4613186	201.1581196	1462.588028	847.57	1510.59162	1.783562	1.782261783	08/04/2017 at 2:36 PM	109	19.12619652	2.112380444	3.386880379	24.62545734	n/a	0	19.10642421	0	6.6	0	25.70642421	n/a	0	2.110196705	n/a	n/a	n/a	2.110196705	n/a	0	3.383379085	n/a	n/a	n/a	3.383379085	0	0	31.2	0	24.6	0	6.6	0	31.2	0	0	24.63	109	0	24.6	24.63	0	-24.6	0.03	0	0.03	0	6.6	6.6	0	0
H0028_008_1	2018	2	655.6762446	111.1314419	-50.23730193	716.5703845	823.9591294	856.5306415	1.042988	1.039530495	08/04/2017 at 2:35 PM	109	55.90381414	9.475212081	-4.283298066	61.09572815	n/a	41.69746212	14.18281024	0	16	13.9	85.78027236	n/a	7.067358514	2.40386344	n/a	n/a	n/a	9.471221954	n/a	-3.194820632	-1.086673685	n/a	n/a	n/a	-4.281494317	0	0	90.97	45.57	15.5	0	16	13.9	90.97	0	45.57	15.53	109	45.57	15.5	61.1	-45.57	-15.5	0.03	0	0.03	0	16	16	13.9	13.9
H0028_008_2	2018	2	592.875235	116.7748199	68.63171919	778.2817741	800.3638619	877.8279277	1.100434	1.096786061	08/04/2017 at 2:35 PM	109	39.47951552	7.776026122	4.570180812	51.82572246	n/a	27.43911868	11.26664534	0	0	13.9	52.60576402	n/a	5.404506635	2.219118632	n/a	n/a	n/a	7.623625268	n/a	3.176374685	1.304236024	n/a	n/a	n/a	4.48061071	0	0	64.71	36.02	14.79	0	0	13.9	64.71	0	36.02	15.81	109	36.02	14.79	51.83	-36.02	-14.79	1.02	0	1.02	1	0	0	13.9	13.9
H0028_009_0	2018	2	881.1391246	124.5515125	-62.61525063	943.0753865	808.6125018	968.5521493	1.198669	1.19779517	08/04/2017 at 2:36 PM	109	15.48864239	2.189363498	-1.100649373	16.57735651	n/a	3.16736252	12.30506324	0	0	0	15.47242576	n/a	0.447715669	1.739355563	n/a	n/a	n/a	2.187071232	n/a	-0.225078189	-0.874418803	n/a	n/a	n/a	-1.099496992	0	0	16.56	3.39	13.17	0	0	0	16.56	0	3.39	13.19	109	3.39	13.17	16.58	-3.39	-13.17	0.02	0	0.02	0	0	0	0	0
H0029_001_0	2018	3	672.6745463	69.35209209	-38.86714452	703.1594939	888.58	825.1169647	0.928579267	0.928579267	08/03/2017 at 11:46 AM	109	22.55149309	2.325037024	-1.30302558	23.57350453	n/a	9.9204165	12.62772399	0	49.3	6.4	78.24814049	n/a	1.022785302	1.301906073	n/a	n/a	n/a	2.324691375	n/a	-0.573201802	-0.729630066	n/a	n/a	n/a	-1.302831867	0	0	79.27	10.37	13.2	0	49.3	6.4	79.27	0	10.37	13.2	109	10.37	13.2	23.57	-10.37	-13.2	0	0	0	0	49.3	49.3	6.4	6.4
H0029_004_0	2018	4	662.2199311	69.37455273	-40.44010181	691.154382	882.48	833.2935569	0.944263391	0.944263391	08/03/2017 at 11:48 AM	109	35.34321709	3.702576384	-2.158321172	36.8874723	n/a	10.83651875	24.50912022	0	49.4	6.1	90.84563897	n/a	1.135240131	2.56758997	n/a	n/a	n/a	3.702830101	n/a	-0.661758883	-1.496710187	n/a	n/a	n/a	-2.158469069	0	0	92.39	11.31	25.58	0	49.4	6.1	92.39	0	11.31	25.58	109	11.31	25.58	36.89	-11.31	-25.58	0	0	0	0	49.4	49.4	6.1	6.1
H0029_006_0	2018	2	932.2593031	94.51336287	39.78308209	1066.555748	882.48	1167.328279	1.322781568	1.322781568	08/03/2017 at 11:50 AM	109	36.36240979	3.686456783	1.551723569	41.60059014	n/a	0	36.36189396	0	23.9	0	60.26189396	n/a	0	3.686404487	n/a	n/a	n/a	3.686404487	n/a	0	1.551701557	n/a	n/a	n/a	1.551701557	0	0	65.5	0	41.6	0	23.9	0	65.5	0	0	41.6	109	0	41.6	41.6	0	-41.6	0	0	0	0	23.9	23.9	0	0
H0062_001_0	2018	4	633.5663257	68.03043766	-15.17319136	686.423572	907.81	878.8717173	0.968122974	0.968122974	08/03/2017 at 11:52 AM	109	50.29099715	5.400095313	-1.20441206	54.4866804	n/a	31.5664689	18.72759222	0	58.7	11.9	120.8940611	n/a	3.389512049	2.010912265	n/a	n/a	n/a	5.400424314	n/a	-0.75598095	-0.448504488	n/a	n/a	n/a	-1.204485438	0	0	125.09	34.2	20.29	0	58.7	11.9	125.09	0	34.2	20.29	109	34.2	20.29	54.49	-34.2	-20.29	0	0	0	0	58.7	58.7	11.9	11.9
H0062_002_0	2018	3	688.0560761	68.54606098	-6.213892729	750.3882444	942.4901139	945.2569454	1.002935661	1.002935661	08/03/2017 at 11:55 AM	109	49.02966834	4.884471996	-0.442791089	53.47134924	n/a	31.59752643	17.43090474	0	58.7	14.5	122.2284312	n/a	3.14783351	1.736515236	n/a	n/a	n/a	4.884348746	n/a	-0.285359939	-0.157419978	n/a	n/a	n/a	-0.442779917	0	0	126.67	34.46	19.01	0	58.7	14.5	126.67	0	34.46	19.01	109	34.46	19.01	53.47	-34.46	-19.01	0	0	0	0	58.7	58.7	14.5	14.5
