bid_id	contract_year	version	opt_sup_b0016	opt_sup_b0017	opt_sup_b0018	opt_sup_b0019	opt_sup_b0020	opt_sup_c0016	opt_sup_c0017	opt_sup_c0018	opt_sup_c0019	opt_sup_c0020	opt_sup_d0016	opt_sup_d0017	opt_sup_d0018	opt_sup_d0019	opt_sup_d0020	opt_sup_d0021	opt_sup_e0016	opt_sup_e0017	opt_sup_e0018	opt_sup_e0019	opt_sup_e0020	opt_sup_e0021	opt_sup_f0016	opt_sup_f0017	opt_sup_f0018	opt_sup_f0019	opt_sup_f0020	opt_sup_f0021	opt_sup_f0030	opt_sup_f0031	opt_sup_g0016	opt_sup_g0017	opt_sup_g0018	opt_sup_g0019	opt_sup_g0020	opt_sup_g0021	opt_sup_g0030	opt_sup_g0031	opt_sup_h0016	opt_sup_h0017	opt_sup_h0018	opt_sup_h0019	opt_sup_h0020	opt_sup_h0021	opt_sup_h0030	opt_sup_h0031	opt_sup_i0016	opt_sup_i0017	opt_sup_i0018	opt_sup_i0019	opt_sup_i0020	opt_sup_i0021	opt_sup_i0030	opt_sup_i0031	opt_sup_j0016	opt_sup_j0017	opt_sup_j0018	opt_sup_j0019	opt_sup_j0020	opt_sup_j0021	opt_sup_j0030
H0028_004_0	2018	4	1	2	3	4	5	MyOption Vision	MyOption Plus	MyOption Platinum Dental			10.75	22.76	42.12			25.21	0	4.22	19.33			7.85	10.75	18.54	22.79	0	0	17.36	149636.4753	15.76116235	2.79	6.49	7.99			5.756666667	41029.73646	4.32164909	1.76	1.37	1.72			1.616666667	16631.49284	1.75178985	15.3	26.4	32.5	0	0	24.73333333	207297.7046	21.83460129	887.304941	887.304941	887.304941			2661.914823	9494
H0028_007_0	2018	5	1	2	3	4	5											0						0	0	0	0	0	0	0	149636.4753	15.76116235						0	41029.73646	4.32164909						0	16631.49284	1.75178985	0	0	0	0	0	0	207297.7046	21.83460129						0	9494
H0028_008_1	2018	2	1	2	3	4	5	MyOption Dental Enriched HMO					30.7					30.7	11.26					11.26	19.44	0	0	0	0	19.44	149636.4753	15.76116235	6.81					6.81	41029.73646	4.32164909	1.45					1.45	16631.49284	1.75178985	27.7	0	0	0	0	27.7	207297.7046	21.83460129	1160.506018					1160.506018	9494
H0028_008_2	2018	2	1	2	3	4	5	MyOption Dental Enriched HMO					26.86					26.86	9.57					9.57	17.29	0	0	0	0	17.29	149636.4753	15.76116235	6.07					6.07	41029.73646	4.32164909	1.34					1.34	16631.49284	1.75178985	24.7	0	0	0	0	24.7	207297.7046	21.83460129	270.429284					270.429284	9494
H0028_009_0	2018	2	1	2	3	4	5											0						0	0	0	0	0	0	0	149636.4753	15.76116235						0	41029.73646	4.32164909						0	16631.49284	1.75178985	0	0	0	0	0	0	207297.7046	21.83460129						0	9494
H0029_001_0	2018	3	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0029_004_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0029_006_0	2018	2	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0062_001_0	2018	4	1	2	3	4	5											0						0	0	0	0	0	0	0		0						0		0						0	0	0	0	0	0	0	0	0		0						0	
H0062_002_0	2018	3	1	2	3	4	5	Preventive and Comp Dental Package					35.03					35.03	0					0	35.03	0	0	0	0	35.03		0	0.8					0.8		0	0					0	0	0	35.8	0	0	0	0	35.8		0	1100					1100	
