bid_id	contract_year	version	msa_bnchmk_b0039	msa_bnchmk_c0039	msa_bnchmk_d0039	msa_bnchmk_e0039	msa_bnchmk_f0039	msa_bnchmk_g0039	msa_bnchmk_h0039
H1181_001_0	2018	5	52700	WI	Wood	91.1834593	0.640623018	812.04	520.2115156
H1181_001_0	2018	5	52690	WI	Winnebago	1086.27128	0.640623018	790.43	506.3676522
H1181_001_0	2018	5	52680	WI	Waushara	1073.868288	0.640623018	825.68	528.9496135
H1181_001_0	2018	5	52670	WI	Waupaca	129.542544	0.640623018	807.46	517.2774622
H1181_001_0	2018	5	52660	WI	Waukesha	1233.147735	0.643485581	908.21	584.4200398
H1181_001_0	2018	5	52650	WI	Washington	790.2566473	0.640623018	905.59	580.1417989
H1181_001_0	2018	5	52640	WI	Washburn	0	0	825.95	0
H1181_001_0	2018	5	52630	WI	Walworth	356.0496982	0.640623018	822.23	526.7394641
H1181_001_0	2018	5	52620	WI	Vilas	169.3407101	0.640623018	826.4	529.4108621
H1181_001_0	2018	5	52610	WI	Vernon	91.1834593	0.640623018	816.88	523.312131
H1181_001_0	2018	5	52600	WI	Trempealeau	65.13104236	0.640623018	820.59	525.6888424
H1181_001_0	2018	5	52590	WI	Taylor	39.07862541	0.640623018	825.57	528.879145
H1181_001_0	2018	5	52580	WI	Sheboygan	1529.659525	0.640623018	809.47	518.5651144
H1181_001_0	2018	5	52570	WI	Shawano	64.77127198	0.640623018	826.83	529.68633
H1181_001_0	2018	5	52560	WI	Sawyer	52.10483389	0.640623018	825.91	529.0969568
H1181_001_0	2018	5	52550	WI	Sauk	273.5503779	0.640623018	812.2	520.3140153
H1181_001_0	2018	5	52540	WI	St Croix	69.47311185	0.640623018	881.02	564.4016914
H1181_001_0	2018	5	52530	WI	Rusk	60.78897287	0.640623018	827.62	530.1924222
H1181_001_0	2018	5	52520	WI	Rock	299.6027948	0.640623018	817.29	523.5747864
H1181_001_0	2018	5	52510	WI	Richland	91.1834593	0.640623018	815.14	522.1974469
H1181_001_0	2018	5	52500	WI	Racine	486.3117829	0.640623018	866.5	555.0998451
H1181_001_0	2018	5	52490	WI	Price	130.2620847	0.640623018	826.3	529.3467998
H1181_001_0	2018	5	52480	WI	Portage	492.2616671	0.640623018	826.5	529.4749244
H1181_001_0	2018	5	52470	WI	Polk	26.05241694	0.640623018	890.83	570.6862032
H1181_001_0	2018	5	52460	WI	Pierce	13.02620847	0.640623018	894.44	572.9988523
H1181_001_0	2018	5	52450	WI	Pepin	52.10483389	0.640623018	883.83	566.201842
H1181_001_0	2018	5	52440	WI	Ozaukee	1089.859442	0.640623018	885.38	567.1948077
H1181_001_0	2018	5	52430	WI	Outagamie	958.6148254	0.640623018	786.45	503.8179725
H1181_001_0	2018	5	52420	WI	Oneida	217.1034745	0.640623018	827.68	530.2308596
